MinimumReturn,Iteration,AverageReturn,MaximumReturn,TotalSamples
-478.1198593499374,,-390.7509464105254,-293.5004136896758,8000
-373.13629597422107,1,-335.3702064740184,-280.9730588439779,12000
-493.42174265930413,2,-375.2739690646415,-282.1675028111136,16000
-336.77911638175203,3,292.3120378983596,594.6630665413011,20000
-683.4854385375799,4,-38.541404238718805,610.2660528899362,24000
-685.7047352583696,5,441.94256727000175,1009.3655289032417,28000
334.1831945645623,6,1144.5985352319042,1375.6786558118645,32000
-634.7113516409706,7,326.2145928168722,1530.6025013438273,36000
-675.7919390785379,8,331.61387948028874,1705.2793590726867,40000
-646.826523403945,9,888.0815467046077,1900.5436191012534,44000
-586.9957739898655,10,442.26041962772166,2044.2757016840496,48000
-420.96690450924996,11,984.0401030346931,2205.402751871544,52000
1715.781299602828,12,1977.638168653486,2334.8728683253266,56000
1049.3313665972696,13,1857.5788405163955,2165.2097737634194,60000
1368.7496973669101,14,2074.47864334201,2294.772897645169,64000
790.870291595103,15,2072.8183865188707,2462.122419632602,68000
1066.3358083394337,16,1799.767690892072,2355.1288620208234,72000
-350.4553946119233,17,1741.5750615111992,2490.525279753617,76000
-339.8591136578958,18,1414.7951425035237,2408.5661888717973,80000
722.7185357242455,19,2051.4969272829344,2379.8414008672266,84000
2350.2608645826986,20,2461.3656009719157,2608.5554078225923,88000
-65.09886666969078,21,2023.6708119832158,2769.1834210782804,92000
2270.243958938591,22,2510.3812254289232,2715.49801611749,96000
1762.1573174116356,23,2516.9349855600126,2696.599731279877,100000
1303.3039564075918,24,2519.3936106964334,2903.192877208515,104000
1149.8607313293662,25,2170.1910540653275,2648.888690334543,108000
1245.4521936408034,26,2445.103198436948,2894.8294368089387,112000
1657.6724655177059,27,2494.256718778295,2900.3162830735614,116000
585.4398930014478,28,2378.557567945769,2842.2383575944145,120000
1393.4108275499223,29,2627.7814807753107,3057.2107833654045,124000
849.5693911322768,30,2511.0879476900186,2998.375205546921,128000
2642.1291011077365,31,2795.36913673559,3085.8956169185435,132000
2697.0751936863535,32,2944.340817924922,3164.514098460985,136000
