MinimumReturn,Iteration,MaximumReturn,TotalSamples,AverageReturn
-458.61315682505494,,-207.8017937826315,8000,-350.76573957967975
-446.7637510427071,1,-268.2958007027677,12000,-337.26780153797
-290.7512468269688,2,-148.15385830893354,16000,-237.04181596879928
-299.3691922992601,3,50.10611833187863,20000,-139.98816697856253
108.13268297431782,4,502.22780778601805,24000,305.51414293887666
8.588108741273404,5,523.7719828616404,28000,408.2517832758569
715.4711724481023,6,950.4886832834478,32000,815.5535582350134
784.9880948728926,7,887.9110639333704,36000,842.3206500341281
732.7083992684853,8,1007.3198978580764,40000,859.9102200689141
771.4805660343737,9,1162.5839875523866,44000,954.9766757221263
596.6134797827241,10,1003.1805008687811,48000,843.4601666974222
673.1694632107993,11,942.1358297137199,52000,844.9526193846914
-408.7785480993613,12,950.5321486843786,56000,647.6704981280269
752.9492001117756,13,939.115306421602,60000,852.6256594287065
-214.3210343547224,14,979.4576830033321,64000,639.3778851092271
632.4724397749908,15,963.0766672220582,68000,769.382825477031
765.2512356774711,16,899.459002058515,72000,842.5052630163727
12.893670322423137,17,1010.1947006015135,76000,763.5735373724061
758.3674936935548,18,1016.3693678706428,80000,878.1635920891446
-134.1077301909857,19,1061.2713166036733,84000,719.6732677538081
702.0668597306792,20,928.8123634546193,88000,815.5355615641798
852.444194909477,21,1000.4753908185774,92000,922.6270508349456
-243.46518732431468,22,1024.7759011925043,96000,760.9845330725706
843.481417453342,23,1050.3734508544246,100000,970.5880704682617
872.3407367146905,24,1011.2568746469645,104000,958.145634342777
882.107231649252,25,1143.1132891743464,108000,968.2862944335917
479.308576239136,26,1091.2829664105677,112000,905.0755136093563
916.1820239809605,27,1135.4591665378964,116000,1008.2700301321051
971.8136632054019,28,1128.0313055278355,120000,1018.6183956878613
-290.02669204060345,29,1028.2137567591346,124000,579.5353130685703
-242.92933758150483,30,979.9680091514196,128000,577.4551794839315
-55.748120146158215,31,1027.8651625644627,132000,818.2147407110089
-304.92992522522013,32,1088.9683101705527,136000,764.038912936929
