MinimumReturn,MaximumReturn,TotalSamples,Iteration,AverageReturn
-2575.496285668252,-470.7837937240181,8000,,-2003.7617653499155
-2467.7653588863354,-544.0614260735916,12000,1,-1409.3898103008862
-2701.055325318745,-481.4095536767238,16000,2,-1106.1302627675188
-2170.4390736638807,955.0212353054919,20000,3,-849.5883268636138
-1810.2205852558577,-367.0557702826485,24000,4,-971.1985595015499
-2653.1486615381905,-1236.403953328737,28000,5,-1778.9624880119397
-2199.04972996303,-492.0468319869776,32000,6,-1262.512090786581
-1675.3771416636223,172.0280624959539,36000,7,-723.1244341743435
-1211.498391741811,-282.86238303616295,40000,8,-799.0505749691753
-1381.552536808065,-383.3885998629753,44000,9,-774.6180613224801
-1003.0951805714999,-267.123573942064,48000,10,-617.6628208216231
-1583.3910589289567,-68.14046424220426,52000,11,-582.082939360033
-1688.3928064355232,317.91890138256537,56000,12,-782.8726393599776
-1340.277005559826,-586.9690878566361,60000,13,-872.3250496949394
-1364.9351043449044,482.0023249532807,64000,14,-490.499806670879
-752.7312399294426,735.4150481003927,68000,15,-43.67123296833531
-341.20288784872685,457.1916626853046,72000,16,64.15380518112174
-1453.2509106968173,1197.7258098646648,76000,17,158.2749439479276
-1301.6242364613859,947.9953059949953,80000,18,-178.50278308749284
-640.8752865395112,894.6066476847799,84000,19,24.468837892979263
-221.56359274793303,787.7977924781121,88000,20,121.64697402038712
-152.27119570681998,2131.206911208985,92000,21,692.559966401449
-552.4815176009538,2065.679224423879,96000,22,620.2929145579038
-452.78185182589493,1032.4858266514977,100000,23,399.4768224870272
-169.9389875432508,479.63376624626795,104000,24,69.53785466749775
-66.40430256708277,821.7210209925868,108000,25,288.5763937943397
-589.3310660187199,929.5879143534362,112000,26,294.83580575124074
-287.7905060690617,1332.302041514828,116000,27,246.71047154391556
-1407.0848251271184,1509.2808916342801,120000,28,152.469452626121
-271.7022452197631,1734.6844374222476,124000,29,856.6117449162169
171.40190164462206,1625.4534120854366,128000,30,856.0311018173319
192.03137610067287,1358.9938921186115,132000,31,990.3592217601312
-375.63876669440185,1743.0784487621854,136000,32,1035.1631852422775
