AverageReturn,Iteration,MinimumReturn,MaximumReturn,TotalSamples
-1350.7211989837858,,-1604.1709726341785,-1018.3871988350612,8000
-2023.0459360181285,1,-2316.8112788957274,-1159.4925600521115,12000
-1621.4027896815703,2,-2850.475897945607,-91.43040073071094,16000
-1338.4453254895714,3,-2362.4861651884157,-177.56766346568523,20000
-1868.616049902076,4,-2217.435552153513,-1583.1758511764988,24000
-1303.7930560385682,5,-2533.30443379356,-57.46601734876873,28000
-1381.8619745746464,6,-2413.3111660055342,-634.2932151650867,32000
-1218.9013681336558,7,-2386.3839162916015,61.70388092580703,36000
-1427.4902057829374,8,-2389.344140381889,-900.4322055819912,40000
-2612.2643554604597,9,-2784.1719483129664,-2275.6093553057367,44000
-1635.811941060909,10,-2713.7885217477456,-574.2399525996066,48000
-1400.571436498867,11,-2731.843830627697,-193.22919429620282,52000
-1641.4176437579208,12,-2709.5570023045866,-596.0859664729918,56000
-1798.8526523999615,13,-2480.4273221836434,-584.8701324714528,60000
-1137.8283562354336,14,-2303.4651561656287,-177.15992852976606,64000
-1075.692414224156,15,-1435.8275638264925,-661.8394024348634,68000
-1683.3890531993527,16,-2512.747156439848,-121.81795215443309,72000
-280.8270060378369,17,-1700.6807871822587,773.0150385435265,76000
-1520.3763399215193,18,-2653.2558272514443,291.59933871981457,80000
-939.7500977803088,19,-2366.8853990422044,775.3806296135999,84000
-1062.04814266077,20,-1831.1265148004493,-107.11495879827288,88000
-941.4525052115974,21,-2601.908962402149,-253.53549582984346,92000
-916.9324693654534,22,-2230.292434564866,103.05934486569195,96000
-951.3035389691867,23,-2187.803009660294,624.4509403625166,100000
-402.6044203855848,24,-716.6090941617398,-119.75994431902964,104000
-1526.6191479579454,25,-2384.8021213688075,463.1137006928717,108000
-852.5158385201559,26,-2274.585975836118,-45.274396441128836,112000
-1553.1493727889285,27,-2578.0602695332127,-761.1051695237123,116000
-591.8409240067953,28,-1071.5615618493496,-83.82280445984019,120000
-276.78585967270857,29,-833.7414669946628,457.69545874110065,124000
34.89700738180709,30,-367.9867959601629,590.9619670386419,128000
-411.07639526503175,31,-975.8426077323393,349.74890646547226,132000
-31.953065532191754,32,-1819.6742936998398,957.5227926915697,136000
