AverageReturn,Iteration,MinimumReturn,TotalSamples,MaximumReturn
-1335.9874595294025,,-1580.890860741393,8000,-933.0793857623031
-1028.6093695907919,1,-1420.5344319568458,12000,-862.1646185268784
-996.0800929405517,2,-1660.3796843151754,16000,-659.3855372632701
-1469.5652825275345,3,-1799.34913369749,20000,-1148.1982557698125
-1334.048991383708,4,-1549.3410775050556,24000,-1196.5703888644987
-950.3417164645193,5,-2399.2075065051345,28000,-553.0870263112669
-1343.7701270155362,6,-2582.190882047531,32000,-473.874740480781
-1167.5765988830415,7,-2345.748402154758,36000,-209.5313597222454
-1003.0889627230404,8,-1503.4848684886063,40000,-491.4471764315098
-390.6583612133629,9,-883.1062582881927,44000,34.19949043382912
-840.0879703007854,10,-1226.053943472858,48000,-362.2145031604058
-1149.3761318639708,11,-2260.0921274838574,52000,-836.2912829363131
-546.3907666454511,12,-2342.7464097252923,56000,-75.07492817557605
-899.7088674177215,13,-1830.4647904826786,60000,-247.86859826502513
-2166.514603010178,14,-2471.5410983719803,64000,-1353.8008250494877
-2052.2289896595144,15,-2514.191595920598,68000,-1221.2809539437992
-1829.4178417321298,16,-2498.7977008501275,72000,-1116.865317924325
-1183.7673012618845,17,-2430.1183782339112,76000,-575.0837309800368
-1144.22865820459,18,-2424.8014156950494,80000,-345.8910537186951
-994.3666317546882,19,-1678.747534784731,84000,-215.02421798887679
-1047.1245720480513,20,-2112.8942269474637,88000,-644.7671406634104
-1143.9910165286176,21,-1882.4114898553873,92000,-700.2392409719126
-1231.3741423338404,22,-1973.9412412814427,96000,-205.00208466428967
-1354.5738524029741,23,-2055.7511430895297,100000,-537.9726001296648
-1064.6276656229754,24,-1859.1956399745927,104000,-533.7524939081123
-1399.2120550152365,25,-2330.5313524287276,108000,-774.4328415098793
-1362.6781563271927,26,-2545.5208194820448,112000,-685.1005233015673
-1682.1675360616284,27,-2181.644212461339,116000,-486.9695530958014
-1281.1447197112213,28,-1755.186016234743,120000,-727.0754475821028
-596.8491675647327,29,-1014.4137979449167,124000,-183.3977455259571
-1096.6529683668894,30,-1357.025790447798,128000,-810.4543637327678
-1115.2615368699908,31,-1393.0802371972047,132000,-861.4364047134516
-821.2082466257306,32,-1399.6733382507184,136000,-349.62251939733915
