TotalSamples,MinimumReturn,Iteration,MaximumReturn,AverageReturn
3332,-40.43924671043204,,-0.03464611290710658,-6.353033709929126
4998,-44.575266478631264,1,-0.07149507095090384,-14.02632004274273
6664,-0.27974133378987664,2,-0.09002968088251634,-0.14721843484981892
8330,-0.05856618612675997,3,-0.01769812537077712,-0.03637712496858193
9996,-36.48602467186699,4,-4.146428765484035,-22.768559954800104
11662,-0.2256753043858395,5,-0.09757874144244957,-0.15625333675257944
13328,-0.005465802146049008,6,-0.0030899815297963495,-0.004133557716440567
14994,-32.718696253863335,7,-0.09382629911137998,-7.773202189759705
16660,-0.005801635771472317,8,-0.003120536782920587,-0.004283641059009485
18326,-0.016841584740642197,9,-0.011074270860842722,-0.013338421819971247
19992,-0.010224257852716747,10,-0.005760592420113759,-0.007831546941061416
21658,-0.011117601916423702,11,-0.006897013888000963,-0.008832494547351705
23324,-0.011233264343322965,12,-0.005149484017575316,-0.007585118225000309
24990,-0.7107080095147082,13,-0.015948618943481017,-0.05973018331940354
26656,-0.007659281971127131,14,-0.0013736952006668161,-0.003112445347843048
28322,-64.45367606078621,15,-0.19540963447510584,-33.34730949194896
29988,-0.013734563672322463,16,-0.0022051062985485362,-0.003446530433388634
31654,-0.0038949314354531023,17,-0.0008716835074938621,-0.00219395231748839
33320,-147.5954031729825,18,-0.3356822809707838,-113.30973882712028
34986,-0.2839256919753486,19,-0.15415127590302363,-0.20245555596132095
36652,-0.144840166914612,20,-0.05585255185321593,-0.09272961994255292
38318,-0.00606627489280984,21,-0.0010766531505390423,-0.003034939577149316
39984,-0.016172063427913105,22,-0.0018846942671682967,-0.007104177475485778
41650,-0.09749826458847428,23,-0.038756840487843176,-0.06441254167211553
43316,-29.312110482193805,24,-0.0010202667027941696,-1.5802002110814604
44982,-35.84417869289915,25,-0.025341553360540066,-3.516141996254898
46648,-39.690429169569725,26,-0.044516597357796554,-11.234330791313448
48314,-0.046303192445707915,27,-0.002016471683353165,-0.007960154193829156
49980,-31.761630186622877,28,-0.0029045636405728836,-1.9919344973971287
51646,-63.72692108740622,29,-0.0005969158374455152,-9.300578206857177
53312,-47.14234513988549,30,-0.0016928619995938378,-14.265077430264261
54978,-0.29575555151727767,31,-0.0487019850408383,-0.08223279464910262
56644,-0.026875449761684322,32,-0.00270758305976137,-0.014349185397406778
58310,-22.907148804087647,33,-0.02422619608074313,-1.4674112871153306
59976,-4.6795049284296475,34,-0.0024756819532558783,-0.2161387857598566
61642,-5.990743493071171,35,-0.021330761813252427,-0.3562994505308664
63308,-9.643310753464192,36,-0.019682306811589792,-1.0474868726981064
64974,-0.027773821373394316,37,-0.0011321440216800157,-0.012315308306017032
66640,-51.06314552486323,38,-0.003915640011075232,-14.8979122497741
68306,-0.05364835498726324,39,-0.0006945336059744748,-0.005941332337076827
69972,-13.140624093817207,40,-0.0010294600645865404,-1.1705613552142535
71638,-27.713715845547398,41,-0.04916388752240382,-1.1896360112231799
73304,-0.032884476587933364,42,-0.003295588968068707,-0.021570583673465392
74970,-0.018533089715865484,43,-0.0006804078676628843,-0.004386146678607028
76636,-38.08197046784126,44,-0.0011131258081840162,-4.636571364025436
78302,-64.09435434178137,45,-0.07981735378832439,-16.712708379192257
79968,-10.421620534335945,46,-0.0006421528992645941,-0.6660309861966841
81634,-35.89666323971591,47,-0.001039638789813571,-1.4661963744458943
83300,-39.82153067880869,48,-0.014651717522949642,-5.209914433778255
84966,-62.086864563999974,49,-0.03554062404958986,-19.9614941966335
86632,-105.74989549400627,50,-0.017274685077169942,-39.339131144527514
88298,-36.425833036258396,51,-0.0008704237870667657,-2.0554191390296777
89964,-91.18639601265807,52,-0.0018462829053622848,-33.138307301423964
91630,-106.26812382947308,53,-0.0007887768462128472,-10.606866824108357
93296,-126.90857078498487,54,-0.174584209853862,-78.96377569799995
94962,-130.36745848900694,55,-30.76139077748484,-106.17184541947115
96628,-143.1677376252051,56,-0.000822998982315058,-20.511064810336265
98294,-143.44996887648938,57,-2.56805637359372,-94.81066806033682
99960,-153.33629390897696,58,-0.001304374408750964,-65.75555638144982
101626,-144.5603197530459,59,-0.22944200994448455,-108.30284327164101
103292,-154.51744688393265,60,-0.4438095771584226,-103.88269815317018
104958,-130.47902781329086,61,-29.38821526140444,-110.07798962855634
106624,-138.02669623233965,62,-32.17769821839846,-101.87326250289061
108290,-96.25409953732874,63,-0.11348062963105138,-59.218239765018254
109956,-106.3695407981432,64,-0.0009183443284991287,-27.09968883630511
111622,-117.82151801016715,65,-0.009902688407754991,-68.81479796366472
113288,-116.2642568753355,66,-0.0015861008156320456,-24.096977511679178
114954,-84.1194794170413,67,-0.0006550752839862507,-8.38984765403506
116620,-128.0113477342673,68,-0.028238783514567007,-51.56060044967976
118286,-26.691515562775393,69,-0.0007290381879764914,-2.137595216338475
119952,-121.85704737584031,70,-0.038401255912483674,-79.0615273294716
121618,-74.44698400430721,71,-0.0006225473468087958,-7.666260913714702
123284,-112.64747929960329,72,-0.0018299235301762406,-43.51322878617973
124950,-120.77391532423218,73,-0.08771046966340151,-55.57466875633495
126616,-76.15974168771395,74,-0.0014840696566060434,-23.135522693807467
128282,-59.61323803712687,75,-0.12546480056866968,-33.19068050828168
129948,-67.89382188270939,76,-0.0007436628227068054,-2.732294207336183
131614,-64.28705368039083,77,-0.0009130620169530555,-6.624283584453764
133280,-59.4439238865253,78,-0.0006801340683912596,-5.329729843985083
134946,-87.83166667834442,79,-0.000583349770381939,-6.119965357354948
