Iteration,MaximumReturn,AverageReturn,MinimumReturn,TotalSamples
,-0.11704827793280408,-53.50098168622736,-116.57604705192864,3332
1,-0.08513625104291557,-0.13341303143494188,-0.17367543600960175,4998
2,-0.026343219702903493,-0.07254635474897399,-0.1430522564740835,6664
3,-0.025898673199552306,-0.06129173736704819,-0.1570809307477719,8330
4,-51.68001750896647,-81.45424780597348,-98.26399212764187,9996
5,-0.06731068934845649,-1.1813382999595072,-3.507611933956603,11662
6,-0.03300372590139912,-0.0991946704977652,-0.3088987812060607,13328
7,-0.0243767653619266,-0.05511407945078638,-0.09379560032775885,14994
8,-0.027564101010650915,-0.0656961841423227,-0.15348846473558314,16660
9,-0.01906878820057571,-0.05503722849123599,-0.1435548863962666,18326
10,-0.012076774989415225,-0.04406231874032479,-0.09387792499424888,19992
11,-0.021967676414618817,-0.07043893470964328,-0.2726917216550867,21658
12,-0.028333098171920052,-0.203496752467909,-2.5476405698547255,23324
13,-0.013314807380197686,-0.03643161134230514,-0.07062791196169768,24990
14,-0.012829109571752302,-0.04930020312332927,-0.14100183213960368,26656
15,-0.035297014339177084,-6.448855432983891,-52.47110418685035,28322
16,-0.027290873444291607,-1.0548656999774422,-24.69204216275916,29988
17,-0.02773228184293077,-11.811153747349671,-52.72108048512646,31654
18,-0.03733476062910667,-0.07949828562248847,-0.14259841925267333,33320
19,-0.024110627691575622,-7.510436329808254,-44.63245124797753,34986
20,-23.019938896185323,-65.32138317112143,-105.35355804332245,36652
21,-0.02936069020002073,-36.63615748849545,-112.56073008449063,38318
22,-0.04932524356070002,-39.98757546034034,-104.22888714672631,39984
23,-0.018489746062649123,-1.380238800512577,-25.21368541103979,41650
24,-0.03036778050670931,-11.450287019135667,-58.272943949110825,43316
25,-0.031200890525086664,-4.252423352672097,-47.76941082249885,44982
26,-0.1056285510664281,-0.22550900836797028,-0.49421861646262316,46648
27,-0.08106350944656866,-0.21142535136174598,-0.4205877348399239,48314
28,-0.09241226697693541,-4.214579029838218,-47.50076951613088,49980
29,-0.06723969346080196,-0.12307618645387489,-0.21266003304392173,51646
30,-0.18166833526705517,-0.2981715408709992,-0.5722874895247856,53312
31,-0.04080657889528338,-18.478425084662884,-77.12851443264303,54978
32,-0.10039310462667525,-83.63037243987986,-137.76203199737887,56644
33,-0.23741293639038885,-83.14397871209532,-128.09109524845118,58310
34,-1.1722372927413214,-93.47522260798543,-145.07636839943504,59976
35,-1.3832855175197216,-86.87161060602004,-157.5376512759004,61642
36,-1.5606200733271247,-95.75868225664705,-170.54948484317686,63308
37,-47.51768020715237,-87.96639012388256,-119.07794108484136,64974
38,-1.3046601485001856,-26.693898249757932,-79.10385864310177,66640
39,-4.618729625756719,-8.02922071742063,-20.23277376514278,68306
40,-0.3379350958540835,-3.035910798341915,-5.837703738703377,69972
41,-2.337503938779123,-72.56406636062715,-141.1170153959995,71638
42,-1.36686686974317,-29.145172129568593,-95.98147182250545,73304
43,-0.4697864192414661,-25.962071843809316,-78.90051739048221,74970
44,-0.9509987412128098,-22.234055243007138,-80.07411951674558,76636
45,-2.9232914171952475,-68.26564085338988,-137.9018870512211,78302
46,-0.2278493510619831,-48.974376312238526,-118.00962866385187,79968
47,-0.37207966536033876,-69.24048472041389,-127.88560562203254,81634
48,-0.12510232352958722,-94.51490467186248,-171.21070875965492,83300
49,-0.18711285318987178,-28.906015593992496,-116.97446194231941,84966
50,-0.29020529324387523,-26.98992446955003,-119.38799841352944,86632
51,-0.30848934229196545,-30.02746213575639,-127.21557357476529,88298
52,-0.17186232061454626,-17.963692197787722,-96.88842788738278,89964
53,-0.14321733038797071,-4.8375752468462325,-60.66504298611002,91630
54,-0.15912463753234218,-19.025557457473216,-90.7113500815846,93296
55,-0.18157422708974535,-8.962388827956612,-41.57297606906176,94962
56,-0.1956837751266598,-4.336211667783761,-46.15981771171484,96628
57,-0.12313959536378034,-34.04216934339913,-93.13309444929884,98294
58,-0.1761652317431078,-0.44935836471628954,-1.0593277905387248,99960
59,-0.22435081680688385,-0.6797836842901996,-1.8569947996865594,101626
60,-0.10830238581704353,-0.256353964421515,-1.1500232054672221,103292
61,-0.11558938486512617,-0.29363290534533587,-0.7101881869205389,104958
62,-0.058326691098503435,-1.126090288919252,-20.046160943966285,106624
63,-0.08655345106502732,-20.08319095114567,-58.19785114420899,108290
64,-0.13696559912890025,-24.94081487621408,-74.42396434839813,109956
65,-0.15121982173278883,-3.0056643656702784,-31.349284241631675,111622
66,-0.22286725176806757,-3.2342760094963365,-61.09254630210243,113288
67,-0.17825007019451072,-0.3508976710541775,-0.5709393968296315,114954
68,-0.08464213610101579,-20.910382527383245,-76.18652228190861,116620
69,-0.20917354530213175,-50.00496076182959,-148.95109407943806,118286
70,-0.12243149529525874,-56.23879368208151,-126.60365330049673,119952
71,-0.24913734555271483,-0.4287645487373601,-0.7557113049171461,121618
72,-0.21156820715365063,-0.5112705434025561,-0.8989605281973854,123284
73,-0.2130470565984879,-3.1323854708983494,-67.08214246468204,124950
74,-0.19921208339090885,-0.5325670116544999,-0.9764875789284307,126616
75,-0.20634503859264325,-36.999049229681646,-105.98764861144754,128282
76,-0.15461933112988807,-5.553504590243007,-71.027953180373,129948
77,-0.23415472449882602,-57.717986634919555,-122.78313064651225,131614
78,-0.1508702063675281,-45.74215281321463,-98.5279144766402,133280
79,-0.13880549136307113,-3.4122958215984407,-46.95783096994229,134946
