Iteration,MaximumReturn,MinimumReturn,TotalSamples,AverageReturn
,199.1229547103757,128.3355763386258,6666,174.88643897968362
1,199.22452015489156,103.27913291400017,9999,167.79209373997273
2,199.14105072866184,127.38959815969038,13332,178.66194015802776
3,199.27959302357863,120.59353640462653,16665,176.7051598772866
4,199.23702491516931,114.63467313191686,19998,169.55070123203458
5,199.33825577304185,133.25440058616468,23331,181.3806541198185
6,198.8196530507621,120.75257199832839,26664,165.32420578941898
7,199.02637237715572,111.87045571497355,29997,163.87455040183835
8,199.06657405866136,123.10144130988985,33330,167.26654971905816
9,198.71217811796123,122.50634340893505,36663,170.92840192067513
10,199.26469840492234,127.03109165520812,39996,169.36734515655752
11,199.33711593526482,114.59620805814352,43329,176.96266814931926
12,198.97872426923007,125.46684435900804,46662,179.37366974519134
13,199.33138403022969,125.40145104937838,49995,168.14304144226776
14,199.33881526927027,125.71473179490425,53328,172.90168679766543
15,199.21570037013464,124.93050056332001,56661,175.19496049560232
16,199.34585476812117,116.82490207981964,59994,166.88705385150007
17,199.0122384831877,128.68489111213734,63327,177.55922352605384
18,199.07810959744043,132.90460265200417,66660,178.41136142705113
19,199.17105428368546,116.77651344083944,69993,174.16510649687655
20,199.21720138523114,117.34125159190535,73326,169.06465042114306
21,199.23573599564253,126.97183030138308,76659,170.1205610610312
22,199.13587565354865,129.85039601108457,79992,177.24002090416656
23,199.25112106019415,121.44585688601046,83325,174.36400942860365
24,199.25548293426465,117.35097949377966,86658,173.35886006476295
25,199.22950056617873,125.8889288391049,89991,169.16520882656442
26,199.14843439826174,134.60990330180934,93324,173.45271041209537
27,199.3429129534854,116.53147595549827,96657,167.71657932880655
28,199.12245962242986,120.7339809228225,99990,166.92965188758018
29,198.8729442234697,131.36882237254142,103323,169.30930590927207
30,198.77568520014344,91.92261208357246,106656,165.53396753156503
31,199.2607313811358,108.26851619307206,109989,170.28406961328562
32,199.19196862958174,103.88246480200478,113322,163.9554173775259
33,199.28821693530014,121.67370955408963,116655,167.80657971086063
34,199.03187596964713,121.31448534022371,119988,168.33023408626244
35,199.18061416759542,125.99882645498708,123321,166.3258649866644
36,198.61621341165116,130.21803305463237,126654,172.94524366689325
37,199.0652825448942,129.8658985997817,129987,173.76869484339377
38,199.20695878995556,120.69842311484713,133320,167.1479866289844
39,199.26346989186248,126.59093609718457,136653,168.18480107389902
