Iteration,MinimumReturn,AverageReturn,MaximumReturn,TotalSamples
,118.08853252325558,172.98741611152246,199.01670572574906,6666
1,135.56940172841217,175.29233863224036,199.3321789038214,9999
2,111.59397959111125,160.83965978377228,199.14718969110083,13332
3,115.81525854725561,166.79016334235942,199.22247485355447,16665
4,130.35499235591217,182.43676902581063,199.34676675709704,19998
5,116.22454489623941,168.47054015295592,198.8367340902896,23331
6,123.22239514678961,173.0750641693561,199.2302497884061,26664
7,133.77797522290416,167.35067664865227,199.17807919863694,29997
8,118.74086394098818,171.42752047428155,199.26239326817705,33330
9,121.20099223743287,178.66557617383296,199.13020556425442,36663
10,125.08891901425426,174.95833400113565,199.13334802910833,39996
11,118.21422706590559,173.50125719465453,199.04872140754557,43329
12,123.5592972393204,176.99369229243973,199.15265440155096,46662
13,125.29256598036937,177.04952126613688,198.72618173317517,49995
14,107.96726584281404,169.57627889452465,198.95894260317053,53328
15,104.90351033570015,168.84451037008162,199.19954864700892,56661
16,126.29533893204268,171.2018103454792,199.20338721160252,59994
17,113.14379329780469,172.65250434387727,199.2224850071944,63327
18,122.14699121909595,176.01808903027302,199.23028424710643,66660
19,136.97118405843347,176.30220988717173,198.7783337718993,69993
20,124.88950048354275,178.70009855998433,199.42654248367995,73326
21,122.649335431901,163.8849555356146,199.21508819028247,76659
22,141.21256938152177,175.55118121695926,199.32897824516377,79992
23,123.99483572009945,167.38239954936182,198.50683716849576,83325
24,133.7875974696947,169.08205868565102,199.22201152631598,86658
25,114.49378152199577,168.006965638408,199.26497561540185,89991
26,128.7506705982459,175.91758406099697,199.09788744209956,93324
27,121.99738146168629,165.33888344496816,199.17091867495137,96657
28,99.82786073907711,158.02636160285604,198.51019430103185,99990
29,114.25306280515449,171.8164717332816,199.19721558882983,103323
30,116.95361281794284,164.00698395560548,199.19963519303016,106656
31,116.15905330080378,168.4709862081244,199.06452088148023,109989
32,119.73095936170432,168.80264764323897,198.95203731415157,113322
33,127.41691815281563,174.285669297766,199.23749172779947,116655
34,134.15740472902118,172.515339870525,199.1802044056691,119988
35,128.40855272628338,172.91515093138557,199.21291909667391,123321
36,130.18970216793403,179.7503160196124,199.19043305495106,126654
37,129.09288204934185,172.95372032086993,199.2112720859427,129987
38,123.37542782379056,173.19956208949162,198.69902784720472,133320
39,116.97209893904736,169.52776258348828,198.84647262090772,136653
