MinimumReturn,MaximumReturn,TotalSamples,AverageReturn,Iteration
124.36384517881264,199.0439883346032,6666,170.37399296790463,
134.80601940221337,199.0522174017121,9999,176.45207050467553,1
125.64951116644788,199.20337047912267,13332,167.74943018792845,2
119.46085175506829,199.1732135174419,16665,167.0357609721156,3
130.48690829657036,199.0691289014256,19998,171.7803407577145,4
119.78251595680648,198.56858849072776,23331,163.3603751905777,5
114.04636906522664,199.16028097733107,26664,166.78991856318183,6
122.7471377700016,198.95660401176912,29997,168.17127990709017,7
130.00152052366542,199.13171750165944,33330,171.20736782280161,8
142.92407698071477,199.01028045404382,36663,180.55810003710982,9
102.15036659150607,198.63700903789933,39996,170.35650872422298,10
116.66217575689998,199.16787230182032,43329,173.53556554182143,11
125.18005716616373,199.25748858029493,46662,172.1227413721867,12
126.97812787761232,199.19101206034853,49995,178.05896552055535,13
122.33362454697725,198.9106911467353,53328,172.45212346308148,14
116.51764558824827,199.20965857008844,56661,173.87133823219887,15
112.73049661744736,199.0297745451785,59994,167.36009527683282,16
125.12770119823604,199.09371845132924,63327,172.22764945328734,17
127.02616406694244,199.27074690910072,66660,172.72852183553496,18
126.19352131192116,199.10880826012942,69993,169.62221181567446,19
107.5918725384817,199.2204966504079,73326,169.82794439989885,20
129.07190434926878,199.13218061954726,76659,178.484542189932,21
119.82481260089767,199.25991300430408,79992,170.9032221916672,22
148.7665702302735,199.36261799136076,83325,177.3633224853503,23
98.96615417347542,199.1182426536445,86658,163.12149855701475,24
115.24106117849644,199.32472713343049,89991,166.7972771766267,25
130.08853301185735,199.03135530773233,93324,169.0211319121306,26
127.23517087781659,199.28890933351835,96657,171.19354083941823,27
122.57416885862123,199.01669839473908,99990,173.12429162610763,28
127.4229351652799,199.13660721685602,103323,173.83603218631265,29
124.80850648580814,198.96959532741465,106656,174.96937765121365,30
129.532751433685,198.6194061862003,109989,169.70902411252683,31
94.99709437373885,198.88411327942578,113322,167.93192935460246,32
123.71462750569825,198.95656427518418,116655,166.34478056472753,33
123.32380061438856,199.32235120397934,119988,175.1232366419604,34
128.25905983627828,199.02548196686277,123321,171.29382741348266,35
134.96210082113058,198.99636852404478,126654,168.05360683011827,36
126.83049829010864,199.29566656713064,129987,169.6602472523592,37
119.86322049354708,199.24484053652426,133320,167.63952097904684,38
124.88231153560301,199.29926413378718,136653,178.11737574397898,39
