MinimumReturn,MaximumReturn,AverageReturn,TotalSamples,Iteration
108.74701049240795,198.19224654394088,173.88788282969546,6666,
106.21103881294098,199.00329206480512,168.08682542427405,9999,1
106.72547362426391,198.0464486224097,169.50272369663253,13332,2
121.05177465642919,198.56614273275707,165.88294491513344,16665,3
131.02331520588697,198.5880679926096,173.42768458215332,19998,4
107.18046660828394,198.19596870456346,172.94270905421752,23331,5
116.8989216803679,199.0880297296313,162.4365410183058,26664,6
120.70519780152031,198.4840611256275,169.04264350005775,29997,7
113.75202869387024,198.50173714202091,169.85212013337588,33330,8
118.73228231992034,197.3411715822968,161.38618072130748,36663,9
129.906295531941,198.4694434291286,174.69784543370181,39996,10
123.46664125501823,198.86658915275328,171.88994033647512,43329,11
130.26099109636868,198.79144245219226,180.25272378575497,46662,12
107.06515480488885,198.65049135277644,170.94500876167834,49995,13
116.58713768059498,198.6637607677922,162.62284645780397,53328,14
125.14915249086468,198.69338023861638,168.12748702896323,56661,15
109.05649836338823,198.3718816021564,168.02769599465407,59994,16
132.61393824672578,198.93146996746842,170.25767705681793,63327,17
148.81737873683804,198.95374137005263,177.31810930551757,66660,18
117.71651897205608,198.5172558361069,169.91385404660198,69993,19
122.66934963272683,198.4160424030062,176.8027957580374,73326,20
117.96413206179525,198.62837355119734,175.53955122862538,76659,21
114.22822375760829,197.97614447027556,160.77728209815044,79992,22
134.87542049581882,197.80849445253392,174.5835247372784,83325,23
113.9245862528404,198.35477810389463,172.51481892065064,86658,24
114.97222934305249,198.78386992505565,168.93191684626015,89991,25
125.6795461687043,198.16511763641967,168.83147136504175,93324,26
117.42014000682734,198.11450298475725,166.9952824798936,96657,27
119.31745024759178,197.4836306348714,167.97103825801193,99990,28
112.29556498030946,196.42282283097532,166.92474986634426,103323,29
129.83469941502088,197.170019874456,169.43360052593147,106656,30
104.52280941735258,195.1502612592265,169.2557696682348,109989,31
113.66942713457723,197.9899907682895,157.97730941842755,113322,32
127.07560060622241,198.22511520889046,168.43168178940223,116655,33
125.37943456120227,198.0249279980431,171.4649315103494,119988,34
115.98492592076687,196.3106356916758,166.00503491372328,123321,35
112.71883646067417,197.91829915545196,158.94648182346293,126654,36
115.82999271424077,198.88199425829296,168.35162414709802,129987,37
123.51870055177083,198.83422705228205,177.17436277218962,133320,38
106.11435364940469,198.36525753877297,168.61142090886835,136653,39
