AverageReturn,MaximumReturn,TotalSamples,Iteration,MinimumReturn
166.29090037861224,198.28301003040232,6666,,114.79646485415853
176.04069471171078,198.6317633151049,9999,1,123.10493746763993
158.39331549670231,198.4799803046223,13332,2,120.9741064347748
171.89018780462172,198.50057168756967,16665,3,120.09418851038991
171.6275118116112,198.24316143352303,19998,4,131.24436731544623
172.52142547219862,198.28479850073242,23331,5,120.68070095952285
177.6883054768075,198.42962066394531,26664,6,125.44090194579262
168.21808559774618,197.79425559422577,29997,7,123.29354442474929
172.1618483274924,197.6094507909184,33330,8,133.2586215596218
166.42342543388477,197.88824702423605,36663,9,123.5916872397405
176.62098781881622,197.12890678932553,39996,10,124.5860192263884
156.74613613090926,196.45939877378956,43329,11,117.28310239592564
169.938605392417,197.56899890509015,46662,12,124.1917915752709
169.54886430666232,197.24081583546135,49995,13,118.42894695592786
179.43700321352074,197.53051313773548,53328,14,122.56190139609822
163.0908239228099,197.10843385395737,56661,15,117.79332467755758
175.1997733515246,197.36920490277384,59994,16,127.79750674743168
172.35555087741858,197.14852967966837,63327,17,122.5109819049135
170.67525240875685,197.25940260972519,66660,18,129.9013065356995
167.11563793108405,196.25426696263088,69993,19,110.45045969056352
171.1522458923539,197.48335118464186,73326,20,115.25042860523794
170.83618282280236,197.17934472304907,76659,21,131.90015373960586
162.6143031798213,197.22992141036673,79992,22,119.32735788068453
167.7236321827702,197.18647732708064,83325,23,125.27194470128035
168.9318332335358,196.73601857741244,86658,24,120.87797985274209
169.65715187209653,195.97903642254607,89991,25,116.7430651361795
165.8430718031975,196.25308925189526,93324,26,114.58888032692424
171.35009729698785,197.37064922374805,96657,27,131.70950970317082
173.90334512087892,197.8098220034473,99990,28,139.63752907579
169.3054788710505,197.4251792143038,103323,29,120.07065224002955
175.34802760333685,197.1829602342433,106656,30,118.31764994090562
164.81292791554213,197.46257785984173,109989,31,116.4413778997181
174.2946018560954,197.19578402561726,113322,32,122.03542170880878
169.28245618234462,197.78602687193026,116655,33,123.31312603942239
167.78680065285164,197.6345169186207,119988,34,96.93260956046281
172.07520617335638,197.94325714697467,123321,35,136.59407198604387
169.61468550026538,198.02166738924535,126654,36,99.35521154066652
170.8371575946985,197.98516157284124,129987,37,118.39312998676303
169.12583107253238,197.74626605839788,133320,38,127.59064999610166
172.64564043635784,198.33424476904474,136653,39,136.12232938586905
