Iteration,MinimumReturn,MaximumReturn,AverageReturn,TotalSamples
,-11.864277700698567,9.868091708936673,0.31754692338365115,8000
1,-15.6319741311688,15.975811367905823,-1.0923670714754896,12000
2,-14.831260558138446,4.935335589041637,-3.678641407139784,16000
3,29.567092007332175,48.53633709416979,40.510741609957485,20000
4,31.927552247760406,47.42511384880622,39.37677518719608,24000
5,24.79104569489613,46.35738472977277,37.437941998131215,28000
6,30.38728994858963,42.645060595346706,37.85475200785303,32000
7,35.578829098610726,58.34653795759563,45.10322225087574,36000
8,72.02342914444856,84.89341144274935,78.05361375167155,40000
9,56.99487184508654,72.46608887040858,65.8154473078917,44000
10,66.971538129617,81.90552578652306,75.75342721290643,48000
11,69.43467867124915,78.2592199100267,73.15291802488372,52000
12,39.890714016253845,51.73208511869245,47.17646197321093,56000
13,96.45705167129422,112.62989308339309,103.59691834421822,60000
14,81.59781356342017,91.63919894441887,87.02978355466003,64000
15,127.83653271560809,148.50422729507795,140.47006629515516,68000
16,117.3785864562996,136.44871221106632,125.07709186607212,72000
17,134.4872900632674,147.89151384697215,140.5600311593929,76000
18,157.70581718466664,180.45295756159507,171.46515096236206,80000
19,177.48399309673795,193.51770758212297,187.18044238295624,84000
20,186.72654879959842,202.9508690356889,193.58157470102708,88000
21,167.8013904087571,184.8650300646787,177.9472049698754,92000
22,167.78941309636636,178.77807943601647,173.81527719878736,96000
23,205.75234648267426,240.63019074534878,220.3924942673591,100000
24,187.38566408278908,206.5592360827882,201.23450766302358,104000
25,200.72906607938165,221.03604127254926,213.76748486774707,108000
26,177.31839136450336,193.86231224592387,183.99217308249442,112000
27,156.45338991744123,170.58395458481718,164.6589063665256,116000
28,118.44982200234602,126.58191568994292,122.1218746775542,120000
29,187.64784521547244,204.37294221920152,195.05584798057134,124000
30,211.44644116262197,217.14206979465112,214.01846967979358,128000
31,223.38029948562513,235.50838697675601,231.01550168267974,132000
32,224.85702469377975,232.40785299724266,227.86034333018856,136000
