AverageReturn,TotalSamples,MinimumReturn,MaximumReturn,Iteration
-43.61385993616835,8000,-53.419379837358676,-29.42232656518063,
4.295556538591085,12000,-9.130525899476384,16.920259771914203,1
-4.046480062341601,16000,-8.543257008525414,6.904550560826728,2
-18.8178600584488,20000,-23.543323195649997,-15.307656213896932,3
-13.096712089310993,24000,-24.00031527766311,0.05439543058177349,4
-14.086835092023989,28000,-23.18577664047364,-1.8751974490649774,5
-9.76467859960056,32000,-17.21211047687307,3.2986210136099934,6
-18.304102501722635,36000,-37.21412348048063,-6.567168129327831,7
-47.384107764641435,40000,-59.76857198858378,-27.98336554562274,8
-20.585107474282395,44000,-54.09739080452847,-1.0680414492403671,9
2.7267257803780294,48000,-17.672212012998365,13.597051830703158,10
2.496003750579913,52000,-16.209032260934812,14.577791979650222,11
-1.442047579514842,56000,-13.839069858142745,5.8741255285732565,12
-3.1102421646239002,60000,-12.470741298305969,11.392302294143379,13
2.748064105794454,64000,-14.67467099093501,16.09519109162342,14
20.429802524532096,68000,11.354256375105933,27.2747665576027,15
26.153469702624548,72000,17.622200105252556,35.900304054820545,16
42.03186074708753,76000,18.778501333952523,61.18507009747829,17
80.43819399519528,80000,70.50635701621476,85.76583465941924,18
43.61511816501578,84000,32.580058709195654,60.83537101212863,19
53.45104669276781,88000,41.15114690825601,64.0718615969728,20
56.65358012560598,92000,30.15999351702036,69.63215947197486,21
69.89725800525136,96000,61.289839744102935,76.15159697805628,22
82.74020362323844,100000,73.21061575466626,90.172623917558,23
45.635023569324126,104000,33.650780911702626,54.977013988028766,24
53.01561119206179,108000,44.963558196364886,61.23749575505383,25
71.45797001241421,112000,59.70429812783007,80.47053455052983,26
39.022423468198404,116000,33.96362495830198,42.80666397096783,27
42.72099580007325,120000,41.04155214773394,46.72254963922472,28
38.57144812264761,124000,29.89704235231559,43.06347573652825,29
62.155293954322076,128000,54.93064121796459,67.99854769299488,30
83.6851876624787,132000,79.81398146950941,89.75182085037251,31
42.56671478251825,136000,35.709125058643394,54.63880471407364,32
