TotalSamples,MaximumReturn,Iteration,AverageReturn,MinimumReturn
8035,5.592944533551408,,-7.185498297712216,-20.521081124197334
12042,5.003029423733294,1,-7.148953821393321,-20.302195787304157
16046,14.2022389833771,2,-7.44930979202245,-22.629012432312066
20063,2.6357152959930583,3,-9.763407397962771,-23.58241756398725
24068,3.2332577958848114,4,-10.421202999398163,-25.11584576383491
28082,4.032441072193121,5,-11.719294282896428,-25.1515913740597
32088,3.53103970179784,6,-12.236480861157611,-27.197182090774962
36090,19.84212981780174,7,-11.766721898915433,-27.362268380809496
40096,4.510366632263341,8,-10.803186223580974,-22.995582365360058
44102,6.716439625039584,9,-11.361475767009845,-32.349419956792005
48103,5.627366954745195,10,-11.126768350292954,-22.60060517268267
52124,12.650794763442862,11,-8.959084173707973,-24.935979101495917
56127,7.361539390952804,12,-9.247616210296465,-25.28365399531338
60135,10.77343302224236,13,-10.894497309083027,-24.49758648416594
64142,2.6136384077319312,14,-11.431860210005143,-35.58890448019844
68148,9.314405163958844,15,-11.174443089219796,-22.574491945857723
72158,3.9640460087258016,16,-11.42533695497934,-22.61006544325807
76164,13.092794104773976,17,-11.172130642329716,-24.28496586971597
80169,6.67371529730687,18,-11.11107244300977,-24.16761191476972
84173,4.129671348627243,19,-9.975365994184484,-24.264303866141802
88177,3.505345331034836,20,-9.923331052294932,-24.739769427455855
92177,5.931110592530628,21,-9.11821954619858,-23.69394083279871
96186,2.874292059871613,22,-7.815030794305699,-22.02845924635305
100187,3.8445599019200154,23,-7.653325406830113,-23.92633115883348
104197,0.6645648275326073,24,-7.483252407553532,-20.904886695135474
108201,0.8918196865803105,25,-6.73037917766876,-19.904625208107372
112202,0.28550227686958574,26,-6.202356087845613,-20.36351630826085
116206,1.3619641102323028,27,-6.25822668081888,-19.340569906848017
120210,1.3644001085889457,28,-6.027690185578959,-18.03605888608092
124211,-0.4064313318869972,29,-6.252811625994125,-18.419510916889866
128217,1.2346482866144357,30,-6.173487452540462,-18.323121593456076
132219,-0.00602954123202748,31,-6.232704715504528,-19.426391977834836
136222,1.1768786574771584,32,-6.180758097068757,-13.643257599497288
