MinimumReturn,Iteration,TotalSamples,AverageReturn,MaximumReturn
-27.19933397846434,,8018,-8.171555569602726,29.532838665970807
-31.03434646850286,1,12018,-8.898662132462407,9.311498437318818
-22.943263114136233,2,16021,-9.40710388507329,11.203963293964947
-22.78370841216878,3,20043,-8.840135460487941,29.831610733806283
-30.037450363847977,4,24051,-9.105978720509635,6.9037963973065475
-24.443505252766297,5,28059,-9.410465597253442,12.37527648911936
-21.336759664016554,6,32061,-9.633405863539306,9.103907990169384
-22.36977351429432,7,36065,-8.6219263893812,6.418325952579884
-27.82175130846006,8,40079,-9.34765072870145,7.881325730885357
-22.281916471146623,9,44096,-9.393845169247793,4.856184121473871
-21.32755628146242,10,48108,-8.16173551757303,5.29911215312005
-23.57644761004833,11,52112,-7.852849322427242,7.038826997876033
-18.65164345419202,12,56118,-7.441735040999825,8.175130819918317
-20.976620561560154,13,60121,-8.31829751761169,12.252031172106712
-18.82149937938309,14,64131,-7.988498095835026,14.435688486291244
-22.91285649001783,15,68132,-10.968044224809335,2.047134068741771
-20.833112818351296,16,72142,-11.523347626066506,1.134162781405878
-20.636162825366632,17,76144,-13.837808911542275,2.5763459851172277
-21.961067622175314,18,80152,-14.061481633601636,1.8590007827124102
-21.5370859283589,19,84158,-13.516879481036376,12.043252171373718
-20.92751398154239,20,88160,-14.440709773529269,16.06188803239004
-22.82472248985387,21,92164,-14.156603580042578,2.2649897462468402
-21.991489797143192,22,96164,-14.343348439191956,14.903048882107532
-23.473524385133945,23,100164,-14.220836028400415,-2.1754155697536137
-22.7475918065673,24,104164,-13.728566952889238,-1.2969109781935906
-21.931468356729987,25,108170,-14.202992949094813,-4.748021459796634
-24.41197433477349,26,112174,-12.613805188676459,-1.133352951531118
-20.950437196195672,27,116180,-12.043283435009615,-1.4774904099339952
-20.75080276623542,28,120184,-11.332889183090774,8.53288989618534
-21.044720619850782,29,124192,-11.924060745770113,3.3210931772102783
-22.4123417653512,30,128197,-11.4923650169823,-1.7505070119110733
-21.973837425477782,31,132202,-11.694763209247363,-3.2479495550347557
-23.70046248617645,32,136209,-11.366421905077342,-2.316070351962205
