AverageReturn,TotalSamples,MinimumReturn,Iteration,MaximumReturn
-7.019782455731118,8008,-21.35392464152479,,2.023321917216979
-6.759017413003891,12012,-50.02235452922173,1,38.21472618456778
-0.09907285431658903,16074,-37.81982409541314,2,171.92572721814875
-3.5597222379493734,20098,-44.68424921498875,3,102.29546633558209
-5.661024442221286,24115,-33.80696859438123,4,48.73781612648197
-5.556426740969198,28127,-42.30728209854371,5,26.362675691841957
-1.2298936271660632,32133,-36.15242285422637,6,130.03097075107706
-3.2639594278884645,36151,-23.462087458311593,7,148.6564284300469
-0.4434690344363735,40184,-78.77930770533592,8,141.91366209042178
-10.059718283769781,44233,-67.32262688626398,9,43.956673383666704
-3.8649128117423674,48261,-65.03225181883238,10,214.56236219460524
-11.401190128133361,52274,-77.14771786186796,11,119.21980940700976
-11.622730385256906,56295,-79.9401990966751,12,73.22621893026258
-13.245209259813459,60304,-86.86610556110398,13,199.4606569073455
-9.033246455659544,64336,-79.83557386047306,14,113.0467832946955
-9.940027679716913,68368,-84.41635602244202,15,113.19262093348522
-4.713109900724139,72389,-48.270972379313285,16,183.5697687020615
-13.585350283603281,76409,-101.13879208076088,17,64.49125785143426
-8.31092930945034,80441,-60.77032549471512,18,86.65926214884915
-10.666498016220409,84545,-72.21419197452182,19,225.64318098024975
-15.752594771642535,88593,-109.55019548622543,20,82.0826329720976
-12.000280576537566,92649,-82.7472313056833,21,178.54838748386743
-8.056373229874191,96710,-82.71397931318498,22,203.11182832818903
-21.319745873330564,100715,-83.81292194741195,23,48.50135914028258
-20.403371662363995,104740,-102.48275748475277,24,151.26100974776293
-23.11030445346108,108773,-99.3980995390322,25,198.91106753879367
-14.8387593272063,112827,-104.00860752867948,26,329.5568638557698
-13.801138633799425,116895,-99.1326121619936,27,174.23053742278327
-21.877862727477353,120897,-77.14611327040336,28,42.87741891751765
-27.921967660568153,124897,-102.33773233939257,29,132.4987542096833
-18.50828295857866,128909,-115.18813540273392,30,162.0618474203231
-6.320483150576411,132935,-76.22293001634823,31,242.49813258466685
-29.557758741057288,136974,-93.30820600514438,32,162.4918891018869
