MaximumReturn,TotalSamples,AverageReturn,Iteration,MinimumReturn
-365.44038898575684,8000,-393.975616901406,,-433.67609724283113
-249.37779177786473,12000,-354.9833354224052,1,-403.94699230746835
321.5374751249082,16000,108.70060549494359,2,-160.18788314413482
365.5631699247614,20000,63.63119290605666,3,-263.4557776823092
329.3285746772625,24000,-82.66533700693284,4,-455.8450407029271
252.66415876595656,28000,71.90512958968979,5,-264.2761906099034
-202.36831931494132,32000,-300.86279844062676,6,-434.2511101196178
275.8349729436916,36000,-240.78244409675872,7,-458.20369225108914
629.1211090322143,40000,56.35714978874754,8,-359.2550475621832
-85.67361328680911,44000,-295.3707454727376,9,-388.9855359020676
514.7853984292282,48000,114.72770189062544,10,-253.26256120449167
1178.4838022498666,52000,741.9656760432117,11,-148.9517786644402
1600.8007028378236,56000,874.7193790257946,12,-110.56668739346942
1980.3591573912806,60000,841.1477539852177,13,-464.0744631243865
1415.9674169053885,64000,296.2273245182866,14,-473.4903425442324
2172.5538960849713,68000,1429.3182029932352,15,-394.60150086148406
2246.174985832035,72000,2061.322997507749,16,1579.2534687878917
2445.631792387588,76000,1979.2732876671616,17,532.7332049812078
2773.486507412323,80000,2075.506449337818,18,273.5498829865202
2945.824903806068,84000,2564.3551454382496,19,2319.7466405243317
2782.858569920085,88000,2532.730162216997,20,2115.463254716346
2794.9940850643425,92000,2517.3359900113996,21,1845.7518267034764
3026.9301772539507,96000,2751.829243923263,22,2508.8425952766834
3211.1837390031246,100000,2575.029290519176,23,75.18617331166932
3397.8001048231667,104000,3182.4941092703193,24,2829.462765343781
3405.350285671527,108000,2692.5064310109915,25,1079.307070918181
3608.835225771652,112000,3123.131022100199,26,2366.6147034698242
3627.3759473803966,116000,3281.744805615062,27,2891.3263164850646
3784.193835950773,120000,3272.6909769584513,28,2966.102286176533
3706.8446553512777,124000,3411.735629052153,29,3174.509961011274
3675.6000430584086,128000,3412.971807593476,30,3173.643946917679
3835.652362794233,132000,3565.290960571558,31,3308.9877942565795
3764.2530164356044,136000,3583.2953011814443,32,3463.7606788775897
