TotalSamples,AverageReturn,MinimumReturn,Iteration,MaximumReturn
8000,-354.61494158017854,-442.47279215885044,,-241.69218769201353
12000,-256.7398954625292,-353.01237191001974,1,-183.38754876633217
16000,-176.1373736468603,-300.1672912785827,2,-0.2100568249281105
20000,-284.4975443884181,-414.58228909182554,3,38.216305502265364
24000,-96.79688924988808,-456.0076141601017,4,370.48879237022317
28000,196.58191290512437,-374.82515942599787,5,1251.871165289431
32000,-298.8906056726874,-406.6839862366514,6,-17.49195506233616
36000,-125.15458642167191,-382.55644674012336,7,200.1923337509711
40000,313.295594972204,-239.33818205900414,8,2107.5947247798385
44000,54.93675220076426,-351.1665177484236,9,1347.4988024437525
48000,265.7494275436675,-387.31403035736594,10,1352.5419912877123
52000,-110.12865916560759,-371.9247954278216,11,343.6092466013487
56000,540.6076327332271,-275.4415346455878,12,1834.5650698176505
60000,1515.2437704134006,-150.41260414321886,13,2810.878497006494
64000,369.4219852480664,-123.0055400192281,14,1658.7016123354686
68000,1658.8960634579526,223.87468376040036,15,2859.787466053727
72000,1017.6641882871144,144.13073202146248,16,2279.1501506768886
76000,899.6681578470385,-252.91958772724533,17,2221.3539340509838
80000,2427.4897142162163,1318.8915751955792,18,3117.3061815205815
84000,3090.476854412513,2801.6276121937053,19,3224.3296400142417
88000,1906.1395994966317,-226.62942212202634,20,3464.309101678365
92000,2917.782999007417,1694.134894769944,21,3429.9295908479608
96000,1684.2597549736868,49.13715291803537,22,3187.561595998443
100000,1978.3569678632364,-129.10863781685123,23,3440.3102686150773
104000,2482.912410437152,163.00748285568017,24,3497.8999602715144
108000,2505.357912077279,410.32196477436923,25,3674.144966904597
112000,2252.080538167997,1176.8058279119718,26,3547.765979767908
116000,1507.8983410099588,232.13691373185074,27,3842.3562232721847
120000,2961.877154589667,357.17606979282715,28,3876.1313139625986
124000,1397.514766131125,-18.8810812940308,29,3537.6570919705405
128000,3160.7997804118045,820.8964168623363,30,4119.555418471925
132000,2162.82063279511,59.06093453230238,31,3906.863755343149
136000,2817.9454180609077,396.8334459668934,32,3997.433360254048
