AverageReturn,MaximumReturn,MinimumReturn,TotalSamples,Iteration
-350.271974008707,-291.07089335717785,-410.476662881729,8000,
-359.0373319423708,-283.22090961977347,-437.32344430016116,12000,1
-240.47627867295478,-146.72244362004207,-282.7561007639849,16000,2
76.89962676630823,153.33641645379436,-12.148689627877872,20000,3
593.8941256471925,691.682574036596,499.28722063988687,24000,4
1040.1671477668237,1339.1924605634288,335.9026309520622,28000,5
1382.683086918172,1674.151229311196,416.9336528689087,32000,6
1414.512788397178,2072.1921066562727,-193.5003846044269,36000,7
1810.4836872527258,2156.1436720208517,1163.7284949460086,40000,8
1787.0398641156964,2140.8596859106797,1389.0598269442085,44000,9
2056.897895370953,2266.4503405843534,1941.2597049477415,48000,10
1769.8999892113097,2266.274912738744,162.85148631003813,52000,11
1961.6276101515286,2407.3581599589015,774.8191747143468,56000,12
2271.178548106951,2372.9745259739348,2045.2235854625626,60000,13
2245.237977907465,2861.6701352070118,1404.0167192902254,64000,14
1386.928866691991,2473.8895768969123,193.58165750448248,68000,15
1684.3477471922106,2534.646575817104,-89.82522828338452,72000,16
1913.6207709675182,2408.0628115016752,141.08434469893567,76000,17
1870.9871637643362,2589.396598605499,484.8805719389357,80000,18
1419.177475374863,2443.3739017649664,-409.2218979170127,84000,19
1301.672643963841,2533.778336249301,133.26742951552208,88000,20
1839.7468348422897,2478.8195168917887,245.02812118233598,92000,21
2442.681590013028,2555.3139223897047,2327.541071721927,96000,22
1742.029971084951,2564.086183892445,726.4082828439872,100000,23
2342.7344050480565,2624.364873651691,2016.0009718198182,104000,24
1510.4944046956618,2519.7388572991117,119.72055158158284,108000,25
1972.471289219837,2387.020709889368,915.1764050534898,112000,26
2586.673041398558,2752.2795112706904,2346.3772863791396,116000,27
1544.1814875002294,2382.548149447603,208.48057635341368,120000,28
1553.9463240800362,2587.809967513739,444.18243426854184,124000,29
1563.5720079340879,2554.072518241929,-137.90270006264603,128000,30
2446.819739670051,2707.8709830921807,2042.7391875382898,132000,31
2105.2277486874523,2447.593970292698,1455.3934415066608,136000,32
