AverageReturn,Iteration,MinimumReturn,TotalSamples,MaximumReturn
-1586.6492237559007,,-1742.8347026713318,8000,-1416.9245437750617
-1732.7861838454767,1,-2009.5562588246287,12000,-1318.8476922676955
-2685.0783854981364,2,-2787.9689443547313,16000,-2379.9977465510037
-1304.9752154893943,3,-1429.873135046431,20000,-1172.6753503316224
-1211.448488897675,4,-1305.1846005711654,24000,-1047.1888131055332
-422.79233293431184,5,-628.1342585215426,28000,-114.59674973838831
-625.467713995805,6,-818.6878228272816,32000,-433.6295274995887
-27.966165741260955,7,-250.88243949434633,36000,528.9823337252975
-512.8827609909177,8,-2158.524287884518,40000,-58.796153096190615
-2621.9528639945543,9,-2878.075791690846,44000,-1824.6557074305088
-485.54241318074736,10,-2440.675364857702,48000,644.7259670108853
-439.48339430082683,11,-1892.8389117633167,52000,257.81715281183693
-29.11260378891946,12,-585.7575869732199,56000,331.86863526729655
-787.6213139144688,13,-2557.120433691579,60000,591.9317710732357
119.01064379975288,14,-342.68052982896063,64000,897.7810378986409
-280.4533585014198,15,-2043.7727630297795,68000,1191.6888167853388
-1362.007087246502,16,-2247.4360731258453,72000,92.07483800353074
-46.07428295607699,17,-711.1451115397649,76000,267.509756730372
311.6035713668648,18,-162.8266943857563,80000,828.1661936262368
-194.26570520077527,19,-468.48031523219606,84000,467.2266626926711
312.00986005635264,20,-601.0311125663835,88000,948.5276852071421
65.83732693299459,21,-434.8494246424236,92000,664.2674538648025
438.0877641005852,22,68.73012150483078,96000,993.0081256341433
395.81787779105736,23,-270.7874070185735,100000,1071.119328791367
102.64459178915838,24,-337.9421088222565,104000,1167.7503586031553
343.66071697353374,25,143.9811543396517,108000,669.8784869466516
370.92190835951436,26,-26.26138639544379,112000,651.9136208191073
415.72018948822074,27,-614.6043334960456,116000,1183.568140405273
-109.33477069448413,28,-2327.9929948677855,120000,1481.7398580837246
-85.40393665736258,29,-2263.364879125613,124000,803.4999019437855
-128.19898710661573,30,-2651.3001996531593,128000,1689.172702587443
882.4179541633242,31,370.83897850627875,132000,1353.9170305979465
738.6468514518034,32,281.3822626585439,136000,1276.076080295985
