MaximumReturn,TotalSamples,Iteration,AverageReturn,MinimumReturn
-1296.1286026485031,8000,,-1825.3318315464642,-2170.063744510815
-1090.1886055151856,12000,1,-1245.7735126912896,-1411.9046258977396
-1124.0812169080898,16000,2,-1192.2557441960957,-1259.3344829338478
-700.9671757813018,20000,3,-1001.0946166606924,-1472.785436885713
-1563.2622474344105,24000,4,-1620.7663997125753,-1708.721460868356
-760.1845730503086,28000,5,-1042.1430196085491,-1256.156069253802
-438.42725724533466,32000,6,-651.4854736759092,-853.3636394603075
-408.8042116185697,36000,7,-643.631510116605,-1009.5222119135049
-303.80520352422064,40000,8,-666.7648648343774,-1079.4215286725434
131.6131408152012,44000,9,-234.94187723012888,-502.8537187069102
295.6888721210165,48000,10,-369.143522363473,-1074.4642505482473
486.3721471666775,52000,11,-276.9792841185128,-1613.9600985589107
407.4064157071926,56000,12,-359.54568858780885,-1407.257001112429
547.3249436618318,60000,13,-201.67516084307746,-1295.1307222492865
576.1001389677259,64000,14,-124.95166271539892,-1313.1658012456055
764.0760925407121,68000,15,87.73135372215016,-1215.7292312735383
610.739159642519,72000,16,187.1364195698012,-461.47041569896635
254.97154406173834,76000,17,-717.816245627112,-2192.173156840096
577.3548801321296,80000,18,-733.0236260976307,-2017.9538410726689
611.5402724325347,84000,19,-277.0812506922517,-2250.960481098676
486.2293242270721,88000,20,-657.6047854451634,-2066.8361266473285
682.1927087087295,92000,21,502.6225070842126,379.11978235888796
1011.705593658611,96000,22,450.04309553988804,-147.48379552098962
303.01946323946635,100000,23,-942.7775258493398,-2172.869077959306
764.788867210732,104000,24,-84.12468966925269,-1594.6212609310803
875.7667715002352,108000,25,336.3600203301704,-307.5830187246062
711.4603593123531,112000,26,128.8657771758351,-271.73373852023633
574.2969070344944,116000,27,-410.91330401869055,-1438.138853190443
883.2863327984096,120000,28,324.4181433377382,-1043.5230376969862
350.33384101211254,124000,29,-285.35757797416426,-1518.7807830310987
864.2289057252312,128000,30,52.87299449894573,-1444.4147666502156
517.4188194325204,132000,31,8.727184935999105,-1111.4880095230208
952.4879514854714,136000,32,298.8012385966501,-40.77293744445801
