AverageReturn,TotalSamples,MinimumReturn,Iteration,MaximumReturn
-0.043459924299600716,3332,-0.08857832148802579,,-0.027142155272368667
-0.001271812708888083,4998,-0.0015595447859585246,1,-0.0008527462679956601
-0.0008474756547398085,6664,-0.0012588746599544588,2,-0.0005114727057295173
-0.0013508075969857385,8330,-0.0019761381607396795,3,-0.000912414776527336
-0.000991728967265536,9996,-0.001395282932258226,4,-0.0006390926932962098
-0.001653572072468819,11662,-0.002349053918509095,5,-0.0011156111471959781
-0.005082722250151315,13328,-0.006908571127742964,6,-0.003533130891105353
-0.0011420019217777478,14994,-0.002041197254365609,7,-0.000717118666275392
-0.001185549456787847,16660,-0.002587703812402681,8,-0.0006737859686100918
-0.000833078427798945,18326,-0.0011353844286112083,9,-0.0006405194963258669
-0.0015382363074927998,19992,-0.0026031655633959525,10,-0.001000162146152325
-0.0013262407160203665,21658,-0.0021289573211003424,11,-0.0008349135761076014
-0.0008112635140957656,23324,-0.001081812132434929,12,-0.0005629329049835877
-0.0008223804540141258,24990,-0.0012599744717151562,13,-0.00046897063067043756
-0.0008122827816191376,26656,-0.001128423430637763,14,-0.0005049353568242649
-0.0008525549189766228,28322,-0.001130913463761747,15,-0.0005961204372624184
-0.0007720175421198227,29988,-0.0012004335939228682,16,-0.0005852100182063767
-0.0008377755840518704,31654,-0.0013385489948046971,17,-0.0006240025740577422
-0.000833416682792696,33320,-0.001290138721150046,18,-0.0005352555063714421
-0.0008143351166208826,34986,-0.001121060815979848,19,-0.0006130926345591652
-0.0008875882586460402,36652,-0.0018248990490843857,20,-0.0006349081741424853
-0.000806778413417842,38318,-0.0017954256673304583,21,-0.0004975396965782267
-0.0007965972054470391,39984,-0.0010035210735246417,22,-0.0005503140200089001
-0.0008044990165986794,41650,-0.001023446866328514,23,-0.0006020825291411356
-0.0008408908349441062,43316,-0.001623480829763731,24,-0.000546271341960494
-0.000825511879921173,44982,-0.0010531606089212969,25,-0.0006747960208107834
-0.0007759034680743386,46648,-0.001030933743511314,26,-0.0005097870367206797
-0.0008529873137545502,48314,-0.0017163078670812356,27,-0.0005193256011449698
-0.0007866833711068315,49980,-0.000994514870948215,28,-0.0005520717789648961
-0.0008236260577795275,51646,-0.0013555431028069629,29,-0.0006247838695962554
-0.0007660253084312285,53312,-0.0010464602783465855,30,-0.0005484091187920736
-0.0008277156379812086,54978,-0.0013153147686066023,31,-0.0006029154701975492
-0.000861286907397087,56644,-0.001027379305204085,32,-0.0006644567519333802
-0.0008255802002913816,58310,-0.001117404114380781,33,-0.0005818985639567817
-0.000792386224240632,59976,-0.0011353531889409197,34,-0.0005674412657832058
-0.0008389377520791741,61642,-0.0013106815415001617,35,-0.0004746990549083014
-0.0008637970329966595,63308,-0.0014045566007285177,36,-0.0006201417274199774
-0.0008357491722816288,64974,-0.0010641777060906184,37,-0.0006308538910683577
-0.0007672279672331481,66640,-0.0011018959770751143,38,-0.0005827365590680145
-0.0008561562041820207,68306,-0.0012485466171888492,39,-0.0005854792895810074
-0.0008776112229042781,69972,-0.0013085896839729644,40,-0.0005583024595654131
-0.000782408193588561,71638,-0.001008327766053349,41,-0.0005573210515193646
-0.0008241194912014981,73304,-0.0010674554399908748,42,-0.0005196656620149282
-0.0007851877633596599,74970,-0.001172327082982098,43,-0.0006012228083897686
-0.0008509766884076562,76636,-0.0010712936350542224,44,-0.0005827100041963255
-0.0007933519110653053,78302,-0.0010843231632787515,45,-0.00053860481135706
-0.0008072274175657721,79968,-0.0011082825210727307,46,-0.0006064922147191148
-0.000865255490719433,81634,-0.0014061660845729536,47,-0.000632635468662207
-0.0007928846341340797,83300,-0.0010215019146230188,48,-0.00047637218651170037
-0.0008795704124659932,84966,-0.0015111753846902614,49,-0.0005942635462246841
-0.0008214063437373464,86632,-0.001107104293513983,50,-0.0006280050585149907
-0.0008401412136635425,88298,-0.001163266971950112,51,-0.0006329546823617698
-0.000849249516340438,89964,-0.001454081366207841,52,-0.0005509214902987068
-0.0008253625984046241,91630,-0.0012887741513512051,53,-0.0006793417914856526
-0.0008946325907265613,93296,-0.0012457280240251172,54,-0.0006405151986612391
-0.001004726514175014,94962,-0.0021632059537857705,55,-0.0005455754553308882
-0.0009339474960462184,96628,-0.0011849907899122826,56,-0.0007066398647097338
-0.0008643584116407099,98294,-0.0013153486168844461,57,-0.0005756525490404512
-0.0008192225238773296,99960,-0.00108436096187855,58,-0.0005625730181757485
-0.0008159404727499136,101626,-0.0010782792424972507,59,-0.0005756350656645484
-0.0009018074974630057,103292,-0.0011480746353480311,60,-0.0006681314975742855
-0.0009004746427252028,104958,-0.0010802535857362507,61,-0.0007190454546845944
-0.0009353691922942053,106624,-0.00145075579198949,62,-0.0006703323971384598
-0.000893576510583237,108290,-0.001178091287230073,63,-0.0006779689672279766
-0.0010619665272489631,109956,-0.0014428954403446592,64,-0.00080310654375095
-0.0009658160284712465,111622,-0.0014060584398715172,65,-0.0007081622268055588
-0.0008441247003725855,113288,-0.0014421015865370306,66,-0.0006436949311097372
-0.002433158458308326,114954,-0.0033217763157892986,67,-0.0016310099436407511
-0.0009866861978354454,116620,-0.001832421987812716,68,-0.0006685655925974675
-0.0010087116883399994,118286,-0.0012649738124170936,69,-0.0007313610808823148
-0.0011092341698785194,119952,-0.0014418335261831524,70,-0.0008359870711664187
-0.0011061230388433876,121618,-0.0016382950063959,71,-0.000752355981518222
-0.0018835193137976456,123284,-0.00227627245425966,72,-0.0013558137590270291
-0.0009637612100167759,124950,-0.0013181560140594027,73,-0.0006575500323601231
-0.001009695228848453,126616,-0.0019227407684035411,74,-0.0006812043574278376
-0.0020203822695673626,128282,-0.0025979386613781135,75,-0.0015013975588567415
-0.0009847486618921005,129948,-0.0015280476164584332,76,-0.0005941698473732734
-0.0017915736687314486,131614,-0.002358929291194571,77,-0.001232726870437773
-0.006827174811245156,133280,-0.009421758204981062,78,-0.0039654020983137285
-0.001197391908039559,134946,-0.0015798312754416535,79,-0.0009358853129369819
