AverageReturn,TotalSamples,Iteration,MaximumReturn,MinimumReturn
-0.03974465386986501,3332,,-0.01639192915958658,-0.3023894413744721
-0.001286015225013585,4998,1,-0.0009209063624218979,-0.0017851974669702774
-4.0783570234787305,6664,2,-0.07772330055440155,-36.34000939966362
-0.12433756606471565,8330,3,-0.03181316981139009,-1.3307091111237463
-0.0021372984700633534,9996,4,-0.0016670106545177783,-0.002760426139018375
-0.0009715453111229053,11662,5,-0.0006633889160270897,-0.0012075148276389147
-1.1466678328031776,13328,6,-0.03210369671458999,-25.75716866437853
-0.034267443374438364,14994,7,-0.017019545727966223,-0.04773338510747678
-0.02922810020850254,16660,8,-0.016546563453284414,-0.04426767692829559
-0.025974710520845372,18326,9,-0.016873349815561656,-0.040073171588112994
-0.2874011911947678,19992,10,-0.022461395846464872,-5.797569941725656
-0.9485158828691059,21658,11,-0.02462866514366617,-22.43017947550385
-10.039236766379373,23324,12,-0.08934998834443557,-45.389738696308555
-0.059586160159633195,24990,13,-0.027101602445575152,-0.32246181947779967
-1.2674812232986714,26656,14,-0.044024765266178795,-14.845887718147731
-0.002435538514244424,28322,15,-0.0018451458576511177,-0.0030833625448105475
-0.016208681078375236,29988,16,-0.009485608675844389,-0.024925663746438627
-38.92481232148081,31654,17,-7.524630808249077,-61.723818586637876
-0.043017131938469816,33320,18,-0.023368628386835042,-0.06715689425439635
-1.763218259163735,34986,19,-0.021707491821818702,-12.097326874366559
-0.06202394755847448,36652,20,-0.03266800663282674,-0.1078430053371284
-0.00232967958546209,38318,21,-0.00179215757701505,-0.0031750957148709517
-0.0011333664494062809,39984,22,-0.0007865513538085231,-0.0016384414359149652
-0.0009957458115323658,41650,23,-0.0007621868066719328,-0.001570247652235091
-0.0036309976861094383,43316,24,-0.0023588168202036516,-0.005015465574442142
-0.0070930979157911925,44982,25,-0.004760708181801347,-0.011913119822593236
-0.000952152952292287,46648,26,-0.0007090835175103525,-0.0013141592506230226
-0.01863241474964937,48314,27,-0.004972579814988286,-0.2651659266731705
-0.0015124556564820712,49980,28,-0.0010190428488143493,-0.0025162440806513857
-7.449325523522279,51646,29,-0.04417981445379928,-87.11222285577408
-0.0034138712736253157,53312,30,-0.0025642688404283066,-0.004754597359705646
-0.0010463731269584762,54978,31,-0.0007770601585030527,-0.0014052011073879558
-0.0010582529390364822,56644,32,-0.0007293898323434025,-0.0017079934738691248
-0.003640097633611458,58310,33,-0.0025237140445165543,-0.005252212164991955
-0.0010782746237659603,59976,34,-0.000728158955311018,-0.0015177514367432645
-0.00100712940178669,61642,35,-0.0006701815613740153,-0.0014053738989197894
-0.0031500115691307433,63308,36,-0.002397485520989518,-0.004639314753817487
-2.9038355413735544,64974,37,-0.031685438253551246,-62.48708818646485
-0.04100866084761215,66640,38,-0.02109416255915311,-0.0723021856718914
-0.0023463688221404496,68306,39,-0.0016280831337270856,-0.003428888015307795
-0.0010797929984856418,69972,40,-0.0007822402152968409,-0.0014735413483881166
-0.0010442487540990408,71638,41,-0.0007077305998548044,-0.0014309224421443112
-0.0009913316653279893,73304,42,-0.0008050155653222247,-0.0013173282484004116
-0.001018270176169747,74970,43,-0.000662402424089666,-0.0016711191280318577
-0.0011245070781603958,76636,44,-0.0007698891022154922,-0.0013490279226673722
-0.0010395681889001026,78302,45,-0.0006529514622837754,-0.0016355735944774956
-0.0010394932905344872,79968,46,-0.0007300904321725158,-0.0013205674963401477
-0.0011090982334903343,81634,47,-0.0008314590711686029,-0.0016707870219585513
-0.0010189257505940571,83300,48,-0.0006948477836501561,-0.0014988434550310852
-0.004080161808078444,84966,49,-0.0029125416233948564,-0.0058948540033234185
-0.0012520315345147662,86632,50,-0.0008378378187882554,-0.0017370802936528865
-0.007870805462533855,88298,51,-0.00560604926297887,-0.01040635261760635
-0.0010986669062855593,89964,52,-0.0007615770054997464,-0.0013795108885727516
-0.0010299534637388354,91630,53,-0.0008566475925005328,-0.0014800757930796779
-0.0010580551906396603,93296,54,-0.0007610222712173198,-0.001418823745657302
-0.0010916002662721299,94962,55,-0.0008741993419322602,-0.0014112225533969808
-0.0009863843798273086,96628,56,-0.0007157564301712633,-0.0013611985291495606
-0.0020075316061309145,98294,57,-0.0010427674396481733,-0.002781011554149192
-0.0016344878443509787,99960,58,-0.0008746401697710261,-0.0022661566934633936
-0.0010401693226194315,101626,59,-0.000728010779466651,-0.0014046484443686798
-0.001062007040237805,103292,60,-0.000777300142385304,-0.0015438978090223721
-0.000994252278787339,104958,61,-0.000678071878730106,-0.0015117739681597387
-0.001270486883782101,106624,62,-0.0007784698304411294,-0.0017986813213943004
