MinimumReturn,Iteration,AverageReturn,MaximumReturn,TotalSamples
88.04060145457692,,160.09199461198685,198.860564749303,6666
123.70564015177776,1,171.0849480545117,199.37927353995005,9999
124.79675457051461,2,169.79238810283405,199.3221417452881,13332
112.92207491646681,3,159.9146738793288,199.23216970510828,16665
124.5644013851514,4,174.78761407417252,198.95648918486438,19998
123.6883132153288,5,167.07695015204933,197.95735002855096,23331
128.12160947212033,6,169.28394967527606,198.69382853037197,26664
121.78796125372764,7,173.99064475196352,199.36451017568822,29997
130.68224603701447,8,161.97291422202062,198.45704265258834,33330
106.01443999420174,9,163.81491195507436,199.2652982055669,36663
127.52601364276123,10,181.62165026570474,199.1460460071391,39996
124.8524869335531,11,167.86716779761267,199.13654503324412,43329
120.96952758253272,12,166.38767837472446,199.18214818595368,46662
121.59987482273444,13,160.00691096386365,197.6095746155583,49995
127.17914709036037,14,168.7393245275343,199.069995081282,53328
135.009835160411,15,174.09275335741347,197.32738412646293,56661
121.70195263748137,16,175.0815461222202,199.06077469659618,59994
132.19896009737116,17,172.0539705249559,198.90698142165468,63327
128.59888973590688,18,176.2182174444101,198.93753181915716,66660
126.36207785723789,19,174.64478168094615,199.32533928905397,69993
126.91436999936771,20,172.51430439624693,199.12210392824412,73326
112.83664769505506,21,170.15260439161415,199.02353304023688,76659
129.92458089690416,22,168.73169458187857,198.92073113571075,79992
115.24913185787516,23,175.14362560806333,199.09861909271385,83325
125.08563987049979,24,178.69336954134272,199.1151344990613,86658
124.02885512200994,25,166.7897578159217,199.24041454813954,89991
132.97590896563258,26,180.00501474811546,199.27813202187832,93324
120.23882859174901,27,176.01608498250573,199.16922142104124,96657
98.87196634308336,28,165.27997850674336,199.02108706666064,99990
128.78355897392717,29,174.64422712095072,199.05292175445877,103323
135.30410524980363,30,175.44505762749264,199.12670189512585,106656
131.49876121712595,31,171.33518503893612,199.25886483471612,109989
126.54380789541682,32,177.05753763630352,199.19536934904593,113322
133.46864568466992,33,176.8938953670583,199.16052326424293,116655
129.05927407954678,34,173.64277094696467,199.18368130628102,119988
114.75987149208271,35,173.6431366170609,199.18583595062736,123321
116.46299072672429,36,170.13616459270807,199.2007296920131,126654
120.91540702020853,37,172.95628837611818,199.1317849848214,129987
119.42891760664573,38,167.9069680039773,199.01791887844476,133320
110.34440389150443,39,169.42129456767793,198.856860071794,136653
