MinimumReturn,TotalSamples,Iteration,MaximumReturn,AverageReturn
107.21355074134236,6666,,198.99173669691905,169.06592428169824
119.46420847267302,9999,1,197.7138358868772,173.6735063869024
96.92326700463089,13332,2,199.2028261305909,174.61822966353
132.32980444296766,16665,3,199.08298840774447,176.15614835595127
121.61334084294464,19998,4,199.39874947033923,167.13259969783198
126.82214865823971,23331,5,199.34910731785237,169.1056659294735
135.9859129548337,26664,6,199.0878394592028,178.91728502656056
106.91871625055211,29997,7,198.93443077248753,163.80647913949826
123.67114114519327,33330,8,198.9561365418367,166.27283015895244
127.42921602908488,36663,9,199.21469342892544,176.1320336820546
115.60506620980402,39996,10,199.13067347765815,177.01075442710692
123.25165918046204,43329,11,199.17185519821035,170.89950268453114
115.04417216205205,46662,12,198.2596218312275,163.27205577959705
114.74759453176094,49995,13,199.02384030734672,170.93719383563476
128.9417139438351,53328,14,199.12478996999317,171.51931519072485
121.83550887630477,56661,15,199.117253930715,172.0344463203668
138.5402367036617,59994,16,199.09147050805248,176.9749073069266
123.0794937924759,63327,17,199.04936850925986,165.16455584765532
121.06998230576046,66660,18,199.0908539919176,175.8502579457823
135.2879151135222,69993,19,199.17980830037382,183.21003495864525
140.008165856979,73326,20,199.1597903944212,174.8848500913273
124.61171781571096,76659,21,199.1986781221131,170.7888898274016
127.55698667916478,79992,22,199.21602103578016,167.08105300341117
125.81247123528739,83325,23,198.64361849099893,174.77958693882027
98.57025841188438,86658,24,198.197466079418,167.75150730467882
92.53589543483562,89991,25,198.47465667910288,165.96705423369983
104.70037452978038,93324,26,198.37387933041882,168.5806836622401
103.05067818175614,96657,27,198.96761162924764,171.93859684144863
130.49015759998878,99990,28,198.8051424460525,171.32872765560532
112.01662906211158,103323,29,198.5073892636665,170.1102635168943
109.73965501146891,106656,30,198.564389147583,181.92485478947165
87.30959701739589,109989,31,199.1356739878694,162.9907382724151
110.38479709109548,113322,32,199.22632423637552,175.3424159799225
109.28614358263663,116655,33,198.82699656461017,160.85770221131833
114.40530156773863,119988,34,199.16677531006127,169.45008499875564
111.86816052333205,123321,35,199.20238850621897,166.00354294333638
83.51559273370023,126654,36,199.01981491961854,159.2128145976233
127.16506324892842,129987,37,199.02312650987665,176.25891234755028
120.93222700152465,133320,38,198.7236600374749,165.299030546665
130.78978216256624,136653,39,198.848059986995,179.6767713579645
