MinimumReturn,MaximumReturn,TotalSamples,Iteration,AverageReturn
117.95349270784854,198.38945977234508,6666,,165.48370646197435
116.49188561035822,197.98498563485592,9999,1,170.2262880544282
99.71871765770237,196.7705409835915,13332,2,168.26580149853183
100.9741410337731,196.39218075294318,16665,3,166.24253402422946
99.5733790896525,196.52256937415046,19998,4,169.38817203495105
103.13650543170998,197.6484777091482,23331,5,165.17918928500862
92.18852089392064,195.1011003312117,26664,6,155.21436950574733
116.68296583671462,198.54045393348233,29997,7,172.61636493645628
96.73060568264651,198.4831411374988,33330,8,167.0354379121787
110.80412439156217,198.59251614416485,36663,9,169.18429852864637
103.23743896314892,198.6083555635087,39996,10,163.40328034382878
121.73575749584361,198.20669166115502,43329,11,168.14258329306926
128.51388030673965,198.1898942676272,46662,12,169.80180367248875
121.98067255158655,199.29846023677132,49995,13,179.0143312077266
126.30185905177,198.78879517547458,53328,14,173.47613950119998
122.46734807597534,198.4880712169049,56661,15,169.35964939000158
115.34128444824795,196.22671667251296,59994,16,172.08056194272507
111.04709891431072,195.1999588991558,63327,17,152.37481746321754
121.40092069974897,198.3836043400196,66660,18,170.54584002462732
114.37050297008908,198.0940772523996,69993,19,168.2845221643295
104.92400304210123,198.10206426646303,73326,20,168.424157052522
118.93742951220945,198.05338557032465,76659,21,159.1506812668189
123.06821544009016,198.40597153849075,79992,22,174.30367535743306
110.1821471562887,198.55786870342266,83325,23,158.60062069002777
111.631896469865,198.87434494843063,86658,24,170.81500744698496
119.1657754823335,198.64434714127418,89991,25,169.83033619377963
111.97740146960582,198.79835071832906,93324,26,160.26550379545827
113.63737360978027,198.8637329295833,96657,27,166.05446404425925
107.1154611878477,198.7440646880892,99990,28,172.37544731020182
114.59299525421781,198.81918255403906,103323,29,168.92856569338306
121.66864681202748,198.47533857704147,106656,30,169.71330406610002
119.19651411098678,198.9479006085054,109989,31,173.12514321938517
120.07001229545736,198.6134043303522,113322,32,171.1793909064431
118.8370584191224,198.84164069274087,116655,33,167.2043093806443
118.78778037882276,198.87466163108337,119988,34,162.77975457719577
125.10808258278513,198.46781390680385,123321,35,168.4098842298018
116.56592059214971,198.48083226304817,126654,36,162.30305323975767
112.68111235966845,198.76212505373616,129987,37,167.49530077150982
109.51596013316191,197.5353073378784,133320,38,166.35349657708772
118.72360972816715,198.2539285763482,136653,39,167.23407360873895
