MaximumReturn,TotalSamples,AverageReturn,MinimumReturn,Iteration
46.75876153782869,8000,39.90187205211908,34.72693170746655,
70.21488821560065,12000,64.85508941733626,59.61789928045662,1
52.28200187912025,16000,42.00738429898439,35.426870933765926,2
138.1801632942134,20000,129.00225543914834,118.49439724376894,3
197.91693642390246,24000,191.32774633231156,184.05980098578632,4
217.98288839523644,28000,216.0143943264633,210.6061446649982,5
252.70523403612808,32000,250.3842124523778,247.91376454788727,6
301.47733389412065,36000,268.15634553256695,256.37991424154967,7
270.01529345777783,40000,251.12309387576303,236.04225044011514,8
308.68467085357867,44000,263.90072338230215,240.90888889880057,9
309.06131500034724,48000,303.68087170105986,297.4964784128249,10
324.79761546183977,52000,308.48467702064926,255.50522479779923,11
325.0711626607423,56000,321.5174393038304,317.4594147006768,12
331.2178127657134,60000,323.3410705921021,318.8401651696815,13
329.35856635911904,64000,324.7758231501768,319.3612983962458,14
327.2766778580189,68000,322.69298016458873,318.9279163298294,15
319.7591261631797,72000,309.49816201143807,300.8369915008055,16
313.887542769064,76000,306.02189352310444,297.89888552935525,17
301.31630314666427,80000,297.91066334145734,295.2497273315492,18
307.5139307957698,84000,301.5136611676617,297.03995444725047,19
302.4608677878439,88000,299.4056966415047,297.386253991683,20
312.1515929496347,92000,306.7678425332544,303.00931780745645,21
321.62221121878963,96000,317.7898655318922,315.8964809386178,22
317.64864931121076,100000,309.5267612878377,303.5044682155308,23
322.65210599740055,104000,317.6746349937373,312.63254874850304,24
327.6180720831589,108000,326.1595042928904,325.2917295039918,25
322.6916180645817,112000,318.79157278539964,315.77166502396295,26
320.9688647678428,116000,319.59202625298354,317.40386026051425,27
320.8426561685075,120000,314.8544047566126,311.1920568035412,28
318.8909932989566,124000,316.60408508531856,313.75756383488516,29
321.10297926911227,128000,317.3523842091232,315.5217249491552,30
329.43704545810704,132000,328.8151310657765,327.28868202550746,31
325.21019708069645,136000,319.9517938857845,314.35451995908926,32
