AverageReturn,Iteration,MaximumReturn,MinimumReturn,TotalSamples
153.68025987605276,,170.54471313354696,143.21691561814808,8000
330.9760110041938,1,333.1852472790871,325.2902201277918,12000
326.4184986307701,2,336.82883661975626,319.4099321614279,16000
327.7956882570964,3,329.61926429211525,324.52274280833296,20000
316.64845000582926,4,322.5622184287621,308.0693140578349,24000
326.67807809240804,5,328.9322609257223,324.84327156231524,28000
324.1449107728989,6,327.8140219286694,320.8413776907809,32000
321.0999591595897,7,325.8617609038054,315.51093804185854,36000
309.79187084376184,8,313.7628306089695,305.82410522394565,40000
306.15302708780814,9,309.9708651144624,301.9868639589131,44000
330.44358580889246,10,335.19378760832086,325.16616818939167,48000
323.1727121966056,11,325.5252550336479,318.98040548284706,52000
321.94878294627756,12,325.34322958454953,317.8421126292419,56000
323.866249572756,13,325.9623359572428,319.78106829902157,60000
318.62603173510166,14,321.8970870884712,312.1798924422013,64000
321.3893345313414,15,327.0694303641557,314.7498491730555,68000
317.04485017840267,16,319.7302339287941,311.9956510782154,72000
324.1951327065374,17,328.76569378046923,320.46571278105034,76000
321.67181381100715,18,324.8070361378607,317.77838215482655,80000
323.29222456602844,19,325.7784817267986,320.78103528766144,84000
323.0509506620938,20,325.8157617109226,320.36112106493704,88000
321.31328011356663,21,324.1154904384297,318.4936291616286,92000
319.32945352565883,22,321.8699721186891,315.99818838894754,96000
325.1027257106625,23,326.897133349112,321.89004387725595,100000
320.79188280550767,24,323.3327596866718,317.9936828526002,104000
322.3417885176024,25,324.52253547096745,320.3976640657735,108000
323.87391190561095,26,326.3156162750065,319.96057590312245,112000
321.34833802715997,27,325.04070803190456,318.7446210615485,116000
319.1544829354388,28,321.7493645845814,315.87195329256156,120000
316.0231350377714,29,319.997443923114,312.4674083155794,124000
313.8552216057073,30,318.18003193021616,309.95837200324917,128000
313.9902071519075,31,317.55626434272125,309.93869766002825,132000
321.779748354941,32,324.56606073185816,317.98419208220974,136000
