TotalSamples,MaximumReturn,MinimumReturn,AverageReturn,Iteration
8000,-0.5004258415810036,-7.707176789600147,-3.235061347108594,
12000,2.808003595572117,-9.156507713620613,-4.247337866488391,1
16000,14.52096186702305,-12.794183264012267,-2.166783015356877,2
20000,18.75864630124536,-17.106670975954312,4.423035801416302,3
24000,24.816514236172015,-22.55976356310828,2.7068073965909796,4
28000,6.266355029930241,-18.554720201267187,-5.644062423836121,5
32000,24.00714974140059,-23.998848749886736,5.111497923966515,6
36000,19.325450373246785,-22.219127503907075,-2.272555435116322,7
40000,12.226774504273566,-15.727980544201706,-4.3950606495815565,8
44000,5.360851412734876,-17.672167541100297,-3.505165675895492,9
48000,23.93143052726489,-3.4711775022669458,14.304772924578964,10
52000,9.096706649139378,-8.21525044984148,-0.026306827505531594,11
56000,33.903410774651235,-4.45255044114619,11.416650287981147,12
60000,30.688769335835875,2.0693713029763527,14.075799737958926,13
64000,32.97011875860708,-1.6945169455698859,17.036562123466727,14
68000,26.33255514228749,-1.1056984266234606,14.08489787114358,15
72000,26.76236377091095,3.315145908316124,16.383997940990948,16
76000,25.296175836122963,4.121133045425469,14.891148903274043,17
80000,28.749338563819514,-1.8568176884598344,12.161778492525562,18
84000,25.586218019496787,-0.9731056194213095,14.264475004369594,19
88000,26.464570985955895,2.335918104601113,14.655013208137982,20
92000,25.90843187417932,-0.17397503771172712,13.751016753951857,21
96000,22.258599355995848,9.938982716692585,16.101412824469204,22
100000,21.605091353313146,-0.42264174042609426,13.952806628992512,23
104000,29.983929738141427,3.9918151592566646,17.428393099332645,24
108000,17.498076472753922,-1.3650426552974504,10.389486003875122,25
112000,31.260489909630397,-0.37092330741217283,12.81392098850804,26
116000,26.486996863708764,-1.5039513044885762,12.333656425109973,27
120000,34.28022700273445,4.060250741917557,14.078485073007775,28
124000,28.583591720699232,-2.8088108520447657,15.141473455146985,29
128000,29.850852777326665,-2.9770517873491764,12.85726129074723,30
132000,29.454319497274057,-2.1207506716088913,15.961450168149673,31
136000,32.394735273111515,-3.6778906719493816,12.578084896704594,32
