MinimumReturn,AverageReturn,TotalSamples,Iteration,MaximumReturn
-20.63803821324023,-6.127005331352284,8010,,16.834262368666845
-18.857014689291752,-6.898729212317099,12012,1,12.70634641682369
-20.434577148249964,-6.927275935353378,16013,2,6.601030729641288
-22.26762255170408,-7.82524180519326,20021,3,11.715873834685773
-19.260166729863535,-7.260121786699995,24029,4,5.228147205731837
-19.94141214179057,-7.326649682061054,28032,5,3.4347167606454594
-18.583970448412256,-6.9888666273638815,32036,6,4.112295164941383
-22.009946892163843,-6.8551570235236925,36038,7,3.310444399456931
-20.484996771743717,-7.1245944834853345,40040,8,2.6975952613785656
-18.786435131191723,-6.673181050416122,44042,9,2.9259727304119574
-18.8736898426137,-6.761253896954105,48043,10,4.336943636609284
-20.353222699437715,-6.860663934948869,52050,11,2.847394089706511
-19.86830048391613,-6.695189790781868,56063,12,7.905357150950012
-18.839145331075514,-6.715894309669426,60063,13,3.105311661376372
-20.442112630820628,-6.520271223019573,64066,14,3.9552181482958133
-17.720979794969324,-6.476191206111149,68069,15,2.101564584650126
-22.194749810064554,-6.621450998474308,72076,16,2.2601811416654685
-20.058291767985025,-6.423914087751874,76090,17,5.015162032862939
-18.542444705626416,-6.706263129050176,80103,18,3.7647472037793133
-18.885277946301596,-6.0945104900081075,84105,19,7.577978708000234
-22.871848504190883,-5.972340820036608,88117,20,15.335460444022983
-20.396778293241947,-6.324888478012041,92117,21,6.339361687008712
-20.46329858660859,-6.212208157186705,96127,22,3.869528704832917
-18.062080754069253,-6.228261411875695,100133,23,4.406201328180606
-17.304432579306592,-5.892728344272876,104141,24,18.339305327699414
-18.620951114258954,-6.213280844538855,108151,25,6.160130795066323
-18.842146621169825,-6.246252934761547,112153,26,11.901325928410053
-18.624359287503697,-6.563068060940404,116153,27,13.984971070106898
-18.60926796143852,-6.692176544817501,120157,28,11.6560588697271
-29.874974093504136,-7.031113171009395,124159,29,18.837147744128924
-19.647577787370466,-7.572089927688408,128169,30,12.702121060033598
-20.41651671641896,-7.059072936176891,132176,31,19.430771363187898
-20.999979548020914,-7.864074972413261,136184,32,8.136081533827266
