MinimumReturn,MaximumReturn,AverageReturn,TotalSamples,Iteration
-23.776992013609362,21.396960104824128,-7.478989997196045,8016,
-31.061063238125783,38.81812237039389,-6.47123442466359,12019,1
-23.350257085516784,22.973661252938403,-6.649225149235749,16041,2
-19.527088236249007,49.028043543305486,-6.207476247638446,20054,3
-37.68192835368757,24.21041774490255,-6.037198127937238,24074,4
-29.295136085973475,20.093467688622503,-6.970582006536947,28077,5
-27.56913496799489,34.698211398117316,-6.014808376559076,32125,6
-19.035262068667514,35.646493728207254,-4.361458281472946,36131,7
-30.764214677337044,52.2275247334268,-5.364916545410911,40139,8
-19.61611871642724,66.51733377609038,-4.656431724142105,44147,9
-36.87060809835694,49.55774961245002,-6.066306120326442,48167,10
-23.768009607493212,29.991178963958035,-6.185596392269574,52174,11
-20.64438620574932,62.05606961817604,-6.043798211063737,56188,12
-28.454343022278593,13.349431614192586,-6.511230676871451,60198,13
-21.796627630619405,30.496463785999193,-6.478222775217401,64200,14
-22.997153236670655,17.921855138868402,-6.7630090914089855,68209,15
-34.44074266771541,12.54125449696408,-6.206747401375243,72211,16
-18.526393494331398,8.168585525914077,-6.367904432222867,76219,17
-21.906286505117674,13.598193309752695,-7.28763721984883,80229,18
-18.545187869380616,19.005991220758922,-6.675282119614543,84229,19
-18.344562446093022,10.744644871196204,-6.074111285339247,88236,20
-20.187587207233538,6.13514187343961,-6.127006460572927,92240,21
-20.633413532091158,11.820416205235134,-6.194606179221451,96245,22
-18.660768485390154,38.31156061247287,-6.029693180741988,100248,23
-17.614665275899924,10.390852825053175,-5.858986515143991,104251,24
-19.171040529608927,8.530636661930526,-5.924644487676669,108260,25
-20.74370750320146,9.002418058606578,-6.158043179234542,112266,26
-20.533244451784867,7.9226136400527984,-5.7477379887809645,116272,27
-26.200784176514315,12.476579718657174,-5.58488479757717,120272,28
-19.308629019993685,34.84655065584217,-5.461589778755521,124276,29
-19.154154864676574,5.217085688894218,-5.903887053915007,128290,30
-16.008784607617688,12.030951032439942,-5.897001987257644,132298,31
-20.179488007039296,5.851892002750947,-5.823264839705337,136304,32
