AverageReturn,TotalSamples,MinimumReturn,Iteration,MaximumReturn
-6.463621218338879,8018,-22.647390665601733,,7.242727146030946
-6.324934767046301,12020,-16.67716360616977,1,4.96892726330071
-6.3507624189448375,16028,-19.570064248382263,2,6.363364507211019
-6.203850135534076,20032,-19.550050379003363,3,2.6839089586834053
-6.220953842359007,24037,-18.1995868190987,4,5.869014595426636
-6.363397159803156,28039,-21.248738034091687,5,3.519577354370024
-5.962452734892921,32041,-16.674095469300347,6,10.39700342483398
-6.025243943278302,36046,-18.52193717665402,7,1.8221467081751377
-5.688843856582059,40054,-17.471780138219216,8,3.8713330577294034
-5.860125761051976,44058,-16.444913336111057,9,5.074738074967352
-6.272230150697256,48060,-18.498432554741353,10,2.2539225121463637
-6.581980295498972,52062,-22.93302004540824,11,5.787431127077254
-6.299100090367792,56065,-18.452421150697035,12,1.4778893810833713
-5.9396514327404235,60069,-17.857724012830033,13,0.2702328641528806
-5.835321674715302,64073,-15.277591273776244,14,-0.17681575302941788
-6.016850540220107,68075,-21.129812097459926,15,0.6321776764737996
-5.951290967553213,72077,-15.096227616179505,16,3.1561151179481683
-5.869813053279111,76080,-15.251442577038294,17,1.1904266525840863
-5.987984718452431,80084,-15.52763607185323,18,1.1166650900467758
-6.014659286241807,84086,-14.27343519418281,19,0.6681923087275456
-5.991158057386616,88088,-17.867348455729925,20,1.3579633234785145
-5.956177466941969,92091,-16.432439382229354,21,1.1543579133358102
-5.8583699182348346,96094,-13.345197687776412,22,1.420485796665592
-5.897112415753979,100095,-13.849272096497018,23,3.061463409390619
-5.896532255420704,104095,-18.844039104043738,24,2.5452685334077603
-5.9919278342273365,108096,-15.962899511399236,25,0.5036683016025152
-5.937151457522466,112100,-15.374273554401261,26,0.43534080198909386
-5.981755114887756,116102,-13.640376317371206,27,0.8426573788710681
-5.634538242509025,120104,-18.21196760219086,28,1.3226655653763655
-5.681195812007113,124109,-18.731557388131023,29,3.038605902704565
-5.972860739395484,128111,-15.088579892676213,30,2.7027745869660422
-5.843112319955238,132115,-15.960024422085024,31,0.7544555962509076
-5.976495491858763,136119,-17.488442309250324,32,1.6679420625850625
