TotalSamples,MinimumReturn,AverageReturn,Iteration,MaximumReturn
8000,-435.8814948461434,-357.2774779160839,,-313.2852530315148
12000,-398.2356621846778,-351.1292806487424,1,-297.49393328295423
16000,-456.51178859283414,-346.4451670876065,2,-278.67899265704835
20000,-321.22013404211225,-289.0091173691742,3,-255.2530828657525
24000,-545.8276184616903,-432.82572936040054,4,-264.75709823986335
28000,-590.8694112483846,-413.84142938881433,5,-204.46931363507
32000,-601.1458148640137,-367.02356633485914,6,57.46049091602997
36000,-723.4888202816169,-359.07769328320904,7,109.40618166143065
40000,-609.2917440240469,-279.6780696029862,8,55.0746024043067
44000,-539.1367589802435,-409.5996948367802,9,-143.53076823750277
48000,-777.0104007551238,-151.86568699694743,10,271.02052730241553
52000,-621.2254648639877,-176.67033859204966,11,700.3740611287229
56000,-561.4193013197608,-109.05120642988477,12,543.7061308946475
60000,-365.4243653422934,-67.95065538668837,13,711.076780087111
64000,-607.5983744595917,-369.55277380038734,14,136.54899839592048
68000,-516.197947672193,257.3095157855334,15,685.929325595072
72000,-449.03360748876366,-9.074730766544718,16,961.5717724607169
76000,-338.0596903480071,-36.463361152473404,17,453.22064970165485
80000,-303.2292402849082,428.5763516677999,18,940.8191938347966
84000,-519.295920784519,-82.75567590445223,19,352.1556490685774
88000,-490.07944435584443,178.1847718496664,20,1371.2655833323977
92000,-448.7814471896759,388.3529968747164,21,1103.4848366802357
96000,-422.55781623504583,231.65193677513219,22,472.26201346764594
100000,-596.7560358744852,293.6008988705844,23,2164.2206743072275
104000,-159.83209933301646,841.714081776678,24,1617.9330522717296
108000,-526.889902471315,295.6124080289737,25,1531.3505028059756
112000,-337.86690693517085,617.9071593866674,26,1424.1913578932513
116000,-521.3328289542696,-98.47507994469198,27,368.1369903981327
120000,-540.9846788342626,170.40659296985004,28,1036.361093639329
124000,-328.47313917657175,758.4462276310164,29,1816.8920569409281
128000,-698.2448794359334,495.9833472837501,30,2006.4878415295962
132000,-635.757369103849,49.23891924442021,31,1235.53865549174
136000,-629.8240832038825,-170.48834188026768,32,676.045030617266
