TotalSamples,Iteration,MaximumReturn,MinimumReturn,AverageReturn
3332,,-0.045956101502111435,-68.71058477048126,-12.54652741286144
4998,1,-0.02063529125380038,-0.27581304451122035,-0.045482751930369304
6664,2,-0.7161841921879385,-68.06343391460126,-34.861649871227065
8330,3,-0.19582798907419613,-82.8363267412736,-32.28217631690695
9996,4,-0.10444077346975768,-0.2973770412212511,-0.19825791616321417
11662,5,-0.002157652846369089,-0.004009398621037697,-0.0030567806686204674
13328,6,-20.358050549492877,-77.39760714587574,-49.90322279000492
14994,7,-0.18628437754027752,-60.6646078126585,-22.60398371942733
16660,8,-21.53588999301399,-96.45031273901705,-71.010895433574
18326,9,-0.6856140567816453,-52.56197175752653,-24.850332820045267
19992,10,-0.040924878053360945,-58.005788998685574,-4.426858346209254
21658,11,-0.0009567430328925741,-0.3839943347673341,-0.018091899408071967
23324,12,-0.0012459782429792405,-15.466831769631574,-0.6683347576344771
24990,13,-0.2231750601111452,-96.58029597270286,-56.0547036884487
26656,14,-0.029253753691162766,-76.47905436864954,-15.099696220548717
28322,15,-0.002071411481793258,-46.21467876673752,-4.698427423090398
29988,16,-0.036606927887173554,-100.17403518742148,-36.604308874261676
31654,17,-0.0005705781481107804,-94.39575904802395,-7.359079954118031
33320,18,-0.0005917549191189447,-43.051366858714196,-2.103989839841949
34986,19,-0.07685899757168575,-103.80229717127905,-72.20970660002094
36652,20,-0.0006201727880451136,-84.72416323758038,-9.761007914038927
38318,21,-0.0009403688057515578,-48.548027106446334,-4.861690369873534
39984,22,-0.0017303063737489433,-65.56897403251872,-18.852891881852702
41650,23,-0.0008564887196317895,-0.016855740012763305,-0.00491230795832522
43316,24,-0.0007905764419106103,-0.014496781106027572,-0.00662756043031168
44982,25,-0.000657496643906782,-0.007510290844231659,-0.002573915639995525
46648,26,-0.07265508982106397,-19.968048459423414,-1.8292487022724608
48314,27,-0.07944583095604622,-73.8551332090057,-22.236194005376333
49980,28,-0.04536269395245164,-37.72890375873365,-5.868717452622689
51646,29,-0.07184092264586751,-67.13386111850075,-34.811154945795
53312,30,-0.0006046676756462795,-0.017288253316885084,-0.0033864205589398465
54978,31,-0.0006997225167181335,-0.10987130400915004,-0.016208829585555248
56644,32,-0.0010645478606606273,-52.43602211179916,-9.132288064499297
58310,33,-0.0005916524371017394,-74.55619401722812,-6.871949421091655
59976,34,-0.002207434693243753,-105.79074566687041,-43.60630979104622
61642,35,-0.09372268545750174,-101.62953037710638,-61.20942745721196
63308,36,-0.5977674072417285,-100.90253314968899,-73.22965388051607
64974,37,-0.16447048750046364,-119.04090859504358,-69.24496221917661
66640,38,-0.0006193614987410693,-130.28438065398643,-16.64465685672071
68306,39,-0.0005425064674572782,-88.8233304172729,-6.282042846903436
69972,40,-0.0007070736121148028,-79.4381036731443,-6.448445735918582
71638,41,-0.0021158358364388114,-135.27713262044492,-56.932119847178726
73304,42,-0.0004992747340019911,-124.53184464188297,-16.468933176248168
74970,43,-91.18904088618693,-164.72149476836773,-132.43881997793423
76636,44,-0.0005981603954407972,-38.573111772717226,-1.5630291526045537
78302,45,-0.0006237516479598633,-112.18459522195579,-13.176541563991718
79968,46,-0.17798808607289965,-52.6404028982447,-5.268391159035069
81634,47,-0.09946321013437523,-0.49185867473234385,-0.23312195222278728
83300,48,-0.0009383004964243339,-0.19580261966864426,-0.05234816926619874
84966,49,-0.000992005549148801,-0.15262876818392362,-0.0544182307897198
86632,50,-0.0008895219001334727,-0.23842113027905507,-0.09756630497053444
88298,51,-0.0010094002120069614,-0.4448020903775202,-0.1436948529493938
89964,52,-0.0682567124926993,-0.7028236265474832,-0.4040201087462736
91630,53,-0.0007177782020988572,-1.243273255083818,-0.1038942663706676
93296,54,-0.0013102927485681326,-2.053662756541559,-1.2428919673339618
94962,55,-0.0006307603700264498,-1.244215337227601,-0.07616100383129862
96628,56,-0.0006526975083401578,-1.3868437400284535,-0.09705633711777256
98294,57,-0.0008108019537724679,-1.7005574846237093,-0.41709022602753415
99960,58,-2.3916278466616134,-3.9392442951158997,-2.999346806817322
101626,59,-0.00084244215613356,-3.48008719774977,-1.0100538450633127
103292,60,-0.000660673703073851,-3.241366186882085,-0.46167435805973994
104958,61,-2.8808174486098945,-144.91830467387052,-88.29874831864993
106624,62,-0.0024172548196658857,-83.84605026214898,-13.964148260893115
108290,63,-0.0008047763161081003,-47.849930793425855,-1.9377455026432346
109956,64,-0.000694850020204926,-56.68334207658955,-3.7656268106927717
111622,65,-0.21740262636284205,-63.714925546024524,-13.570207965116554
113288,66,-2.3695460688251773,-77.26196077823184,-8.636310409647246
114954,67,-0.002529603148840809,-103.32201142013736,-36.18369025994042
116620,68,-0.0006736829120889209,-1.8913465936360885,-0.08714243975954356
118286,69,-0.000773591681976253,-83.61157008262435,-3.4167240199332163
119952,70,-1.744261757248725,-143.63161225508577,-36.02283467736492
121618,71,-1.3097156781390025,-99.80679615791894,-19.6897922359016
123284,72,-1.4009479823055393,-87.04105934315079,-7.22539569821663
124950,73,-0.001496883300498926,-38.200929099412924,-3.717945401956566
126616,74,-1.4398020524557567,-140.24076807584203,-59.90648354483979
128282,75,-0.0006226189651108876,-2.3089464780905766,-0.12121383808238048
129948,76,-0.000636641482724705,-0.6944929598102645,-0.029016446325110034
131614,77,-0.0005603632546859577,-65.07863505408056,-2.625753356373716
133280,78,-0.0008341216766978335,-1.0707953452842822,-0.2031358548243335
134946,79,-0.0015583967749282395,-165.70490197025748,-40.01533094768303
